"idPot","weight_before","weight_after","predicted_water_add","from_id","decimalDay","note"
"1",200.698,222.968,22.3824281481477,38,81.6493634259259,"after"
"2",197.035,216.676,19.8454758352412,38,81.6696527777778,"after"
"3",189.903,208.939,19.4898919298245,38,81.6579861111111,"after"
"4",205.036,224.447,19.6931255522823,38,81.6525694444445,"after"
"5",201.756,220.793,19.2106484581192,38,81.6638541666667,"after"
"6",197.391,217.051,19.9286337940249,38,81.6607291666667,"after"
"7",199.809,218.923,19.4100323658856,38,81.6583680555556,"after"
