"idGenotype","idWatering","idPot","idPeriod","diel_trend","diel_trend_baseline","E_diel_obs","A_rapid_op_obs","A_rapid_op_transition_obs","A_rapid_op_stable_obs","A_rapid_clo_obs","E_EON_before_obs","E_EON_obs","E_day_mean_obs","E_day_max_obs","t_day_max_obs","sigma_day_obs","Delta_day_obs","Sigma_preclo_obs","E_night_mean_obs","E_night_min_obs","t_night_min_obs","sigma_night_obs","Delta_night_obs","Sigma_preop_obs","t1_fit","t2_fit","adjR2","RMSE","E_EON_before_mod","E_EON_mod","E_mean","A_SQW","A1","phi1","A2","phi2","acclim_slope","E_day_mean_mod","E_day_max_mod","t_day_max_mod","sigma_day_mod","Delta_day_mod","Sigma_preclo_mod","E_night_mean_mod","E_night_min_mod","t_night_min_mod","sigma_night_mod","Delta_night_mod","Sigma_preop_mod"
"Col-0","WW",55,"Control 1",0.0394114395040052,1.09286832729365,1.1024599448117,0.721538529763573,NA,0.721538529763573,0.769443553158512,NA,0.699908731745871,1.53950393189013,1.6513117396847,0.1875,0.0923378122691531,4.14435180345986,3.00189576101382,0.665415957733261,0.641135700776614,0.770833333333333,0.0076378887289802,-1.41103568899982,0.641761675233281,-0.750694444444444,2.125,0.989426641987325,0.0440393991984095,NA,0.726575987758806,1.10079599881497,0.362053816266467,0.117185616154148,0.019667202766772,0.0303752756700498,-0.0849578862510498,NA,1.53925967534153,1.60992002904462,0.219276094276094,-0.101512873732733,3.89534841409626,1.98124146872608,0.66394704975838,0.645294965132338,0.811237373737374,0.0819047799915827,-1.79865918764971,0.408884658853189
"Col-0","WW",55,"High VPD",0.0394114395040052,1.09286832729365,NA,NA,NA,NA,NA,0.699908731745871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.125,2.20833333333333,NA,NA,0.726575987758806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW",55,"Control 2",0.0394114395040052,1.09286832729365,1.07801622969106,NA,NA,0.594530870747112,0.689970770103794,NA,0.719328359274129,1.48745231549574,1.62439640296305,0.270833333333333,0.115211276874315,5.59902826404527,2.80013338631252,0.668580143886365,0.61650586407758,0.583333333333333,0.0839676435222402,-1.32325779429623,1.9865279668646,2.20833333333333,3.02152777777778,0.997150713765412,0.0200940033317121,NA,0.733034111156689,1.07577916416841,0.310646157790042,0.153560308747052,0.0153218595344084,0.0550794821021792,-0.169035753074064,NA,1.48763294553775,1.58878218871621,0.267676767676768,-0.0906782342264559,5.90099431366118,2.0725234564383,0.667240308907908,0.61763519949443,0.627314814814815,0.115285313410292,-1.59663336845452,1.85561184893298
"Col-0","WW",57,"Control 1",0.0600375968766878,1.09333966675524,1.1035083246383,0.701924709969156,NA,0.701924709969156,0.763414468369063,NA,0.749258523753262,1.50795967765324,1.59863424326872,0.229166666666667,0.0100479688663336,2.34874590004512,2.56048157343563,0.699056971623349,0.675552110914202,0.583333333333333,0.118278483446516,-0.944524748340806,0.906519150647921,-0.750694444444444,2.125,0.982031228214758,0.0533326590781566,NA,0.757913896089812,1.10194601263032,0.355651515277643,0.0810418734590143,0.055706500826907,0.0175888195962887,-0.0928267664353099,NA,1.5068006129008,1.55581644476702,0.204755892255892,-0.141122252494854,2.4822198310301,1.55964088926657,0.698089734503772,0.679694384228578,0.632154882154882,0.131347868029722,-1.18591979116069,0.70459984524102
"Col-0","WW",57,"High VPD",0.0600375968766878,1.09333966675524,NA,NA,NA,NA,NA,0.749258523753262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.125,2.20833333333333,NA,NA,0.757913896089812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW",57,"Control 2",0.0600375968766878,1.09333966675524,1.06840203772669,NA,NA,0.516552211701355,0.739799840738562,NA,0.769755757696528,1.44959489515781,1.53510727245073,0.291666666666667,0.190213115726855,4.10107151049391,1.57342536392906,0.687209180295578,0.622205089740202,0.5625,0.275694979655143,-0.712569104290347,2.63679832915386,2.20833333333333,3.02152777777778,0.995602705622753,0.0232137139833545,NA,0.749534971935917,1.06323790469369,0.304858232356651,0.114646609813163,0.025655392654037,0.0509359942511762,-0.205087575239715,NA,1.44255253624105,1.51775183860321,0.291877104377104,-0.0859915089146625,4.16118921161679,1.32639304680915,0.686076385186016,0.622018179465725,0.632154882154882,0.128608608704488,-1.365419088826,2.42382094229467
"Col-0","WW",59,"Control 1",0.00348148027453774,1.23476617336639,1.24173961139957,0.788621437217104,NA,0.788621437217104,0.903127230603901,NA,0.807532294070503,1.71844112458866,1.83094813967902,0.229166666666667,0.142951096664421,3.8032715401287,2.6608144656067,0.765038098210478,0.736337123051689,0.729166666666667,0.0960175156210698,-0.841967974474972,0.95653438681396,-0.750694444444444,2.125,0.986921395801656,0.0535457192941971,NA,0.818679943699201,1.24018139019111,0.403350096982857,0.114358395733376,0.0167865448522542,0.0303921396576323,-0.134166792893595,NA,1.71855596748171,1.7874854315549,0.248316498316498,-0.081274776086231,4.08934092602675,1.66312357991622,0.76381202002885,0.743722991837527,0.646675084175084,0.0807546717189483,-1.48562218029644,0.695409020808669
"Col-0","WW",59,"High VPD",0.00348148027453774,1.23476617336639,NA,NA,NA,NA,NA,0.807532294070503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.125,2.20833333333333,NA,NA,0.818679943699201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW",59,"Control 2",0.00348148027453774,1.23476617336639,1.23454512866808,NA,NA,0.520033510472976,0.807185022087175,NA,0.898560960398108,1.65445544501099,1.73315671539697,0.270833333333333,0.394150472558361,4.44957378086262,1.29749832451679,0.814634812325162,0.749415118503949,0.5625,0.20512224733214,-1.5025943368636,2.58806335162179,2.20833333333333,3.02152777777778,0.993429347074068,0.0311940207023549,NA,0.856490561397701,1.22256874958976,0.335977401176526,0.113032622700862,-0.0042717162808863,0.0591363080106522,-0.212167331630517,NA,1.63384825699707,1.72043996850439,0.311237373737374,0.00830281205806911,4.23749523760311,1.1394610264717,0.813512877755898,0.754889153525615,0.641835016835017,0.0446471435019106,-1.35015180836319,2.13222164742105
"Col-0","WW",61,"Control 1",0.0423609929739548,1.15268616518476,1.16284820071933,0.759761578051426,NA,0.759761578051426,0.82473604304565,NA,0.731996220565812,1.62607226877764,1.74195698664701,0.229166666666667,0.0971036934643643,4.7973618835731,2.72689576373198,0.69962413266103,0.677788158209722,0.729166666666667,0.0384951900018426,-1.0000489809675,0.605917387502701,-0.750694444444444,2.125,0.992638703424687,0.0389542088851384,NA,0.749754862736389,1.16158159835416,0.379627029758488,0.130039417734097,0.00732776954989342,0.0382758288421776,-0.119511617218883,NA,1.62733254814702,1.70951897608581,0.243476430976431,-0.0644001959560354,4.80372543645351,1.96784203212836,0.698306036486432,0.687649843067814,0.651515151515152,0.0561199126678077,-1.58948694081075,0.308086104792363
