"Exact_Time_min","Trt","E_corr_avg","SD","N","SE","CI","E_corr_offset_avg","Time"
-1350,"bam1 - WW",2.15689573143923,0.361136201046002,3,0.255361856691576,0.897112056096622,2.15689573143923,-0.9375
-1320,"bam1 - WW",2.16344549566796,0.36171215403628,3,0.255769116956647,0.898542802639968,2.16344549566796,-0.916666666666667
-1290,"bam1 - WW",2.17325045151594,0.365948680080527,3,0.258764793251207,0.909066916753293,2.17325045151594,-0.895833333333333
-1260,"bam1 - WW",2.1842477961196,0.372458872508267,3,0.263368194463692,0.925239131273796,2.1842477961196,-0.875
-1230,"bam1 - WW",2.1895577389784,0.376370425775404,3,0.266134080303857,0.934955968256211,2.1895577389784,-0.854166666666667
-1200,"bam1 - WW",2.19324693640543,0.380652937574236,3,0.269162273437322,0.945594317316703,2.19324693640543,-0.833333333333333
-1170,"bam1 - WW",2.2021630599485,0.388207501514498,3,0.274504156828388,0.964360894496537,2.2021630599485,-0.8125
-1140,"bam1 - WW",2.20331325560959,0.391449312667269,3,0.276796463477839,0.972413999835509,2.20331325560959,-0.791666666666667
-1110,"bam1 - WW",2.20093784681656,0.395568798658825,3,0.279709379957471,0.98264737034016,2.20093784681656,-0.770833333333333
-1080,"bam1 - WW",2.1874891297221,0.385416145659192,3,0.272530370174397,0.957426782149458,2.1874891297221,-0.75
-1050,"bam1 - WW",2.17773132246531,0.389348927274824,3,0.275311266723736,0.967196353272926,2.17773132246531,-0.729166666666667
-1020,"bam1 - WW",2.15827110736501,0.373478614907307,3,0.264089261229116,0.927772311823521,2.15827110736501,-0.708333333333333
-990,"bam1 - WW",2.13953938390768,0.364977723441893,3,0.258078223227791,0.90665492675079,2.13953938390768,-0.6875
-960,"bam1 - WW",2.11687414380597,0.354333852090851,3,0.250551869617392,0.880214084528646,2.11687414380597,-0.666666666666667
-930,"bam1 - WW",2.08616616209378,0.336598772610115,3,0.238011274651681,0.83615770476966,2.08616616209378,-0.645833333333333
-900,"bam1 - WW",2.06091519202866,0.318519393922656,3,0.225227223382139,0.791246038367129,2.06091519202866,-0.625
-870,"bam1 - WW",2.03871998120007,0.308139096857542,3,0.217887244936666,0.765459950968507,2.03871998120007,-0.604166666666667
-840,"bam1 - WW",2.02145087955575,0.297617532611493,3,0.210447375509595,0.739322936438294,2.02145087955575,-0.583333333333333
-810,"bam1 - WW",2.00647151745097,0.299345830738135,3,0.211669466834856,0.743616266991833,2.00647151745097,-0.5625
-780,"bam1 - WW",2.00647151745097,0.299345830738135,3,0.211669466834856,0.743616266991833,2.00647151745097,-0.541666666666667
-750,"bam1 - WW",1.98330023947383,0.276727122130354,3,0.195675624596612,0.687428279948153,1.98330023947383,-0.520833333333333
-720,"bam1 - WW",1.96586275545493,0.291342956770348,3,0.206010580383252,0.723736025966068,1.96586275545493,-0.5
-690,"bam1 - WW",0.897233321378612,0.154281408879878,3,0.109093430429976,0.383256266020477,0.897233321378612,-0.479166666666667
-660,"bam1 - WW",0.931706855216786,0.154281303520845,3,0.109093355929889,0.38325600429413,0.931706855216786,-0.458333333333333
-630,"bam1 - WW",0.950570875003118,0.137986656148929,3,0.0975713002761639,0.342777856257879,0.950570875003118,-0.4375
-600,"bam1 - WW",0.962110069073376,0.128207694624283,3,0.0906565302691249,0.318485569152752,0.962110069073376,-0.416666666666667
-570,"bam1 - WW",0.972932969306362,0.125906389309794,3,0.0890292616756685,0.312768809834777,0.972932969306362,-0.395833333333333
-540,"bam1 - WW",0.985895315551953,0.127689419892962,3,0.0902900546920895,0.317198103347629,0.985895315551953,-0.375
-510,"bam1 - WW",0.988996941326473,0.121940506998787,3,0.0862249594001683,0.302917012025643,0.988996941326473,-0.354166666666667
-480,"bam1 - WW",1.01146127674213,0.109943690358517,3,0.0777419290011816,0.273115267388594,1.01146127674213,-0.333333333333333
-450,"bam1 - WW",1.01206160475538,0.10589904334205,3,0.0748819316683314,0.263067807204268,1.01206160475538,-0.3125
-420,"bam1 - WW",1.01878899843429,0.097786408623742,3,0.0691454326457267,0.242914905358865,1.01878899843429,-0.291666666666667
-390,"bam1 - WW",1.02663830207048,0.0983721644749865,3,0.0695596245802613,0.24437000355882,1.02663830207048,-0.270833333333333
-360,"bam1 - WW",1.03164551391651,0.0903329625816297,3,0.063875050406141,0.224399518963158,1.03164551391651,-0.25
-330,"bam1 - WW",1.03835574622368,0.0846035994532443,3,0.0598237788861795,0.210166991951624,1.03835574622368,-0.229166666666667
-300,"bam1 - WW",1.04151886574518,0.0734956702243439,3,0.0519692868034838,0.182573366054659,1.04151886574518,-0.208333333333333
-270,"bam1 - WW",1.04974017999286,0.0600848325114124,3,0.0424863925152776,0.149258998345802,1.04974017999286,-0.1875
-240,"bam1 - WW",1.0519369919999,0.0547981860558556,3,0.0387481689568176,0.136126240516862,1.0519369919999,-0.166666666666667
-210,"bam1 - WW",1.06525005011515,0.049781562878975,3,0.0352008806897878,0.123664257697532,1.06525005011515,-0.145833333333333
-180,"bam1 - WW",1.06788431080417,0.0500965796541414,3,0.0354236311876954,0.124446802748557,1.06788431080417,-0.125
-150,"bam1 - WW",1.074909376904,0.0441822563658836,3,0.0312415730844388,0.109754809228712,1.074909376904,-0.104166666666667
