"idPot","weight_before","weight_after","predicted_water_add","from_id","decimalDay"
"217",196.037,207.501,11.5450671705509,220,64.8184722222222
"219",201.582,208.031,6.47907219809881,221,64.819837962963
"220",202.04,210.064,8.20813885313865,87,61.8151736111111
"220",206.405,212.367,6.12658904814478,132,62.8452893518519
"220",203.902,214.668,10.884044102051,221,64.8209027777778
"221",201.462,208.4,7.14190032835512,87,61.8152893518518
"221",204.842,210.186,5.5091947835738,132,62.8454050925926
"221",202.09,213.189,11.2147047880176,221,64.8210185185185
"222",201.006,213.192,12.2639440705217,221,64.8219560185185
"223",207.533,209.531,2.03023330810393,219,64.8506018518518
"224",157.137,160.029,2.93901594085824,217,64.8519097222222
"225",193.867,203.07,9.33463221713595,217,64.8520486111111
"226",204.535,214.173,9.74891232834358,217,64.8532523148148
"227",204.164,210.652,6.58922218438195,217,64.8533796296296
"228",199.107,207.724,8.73805354912054,217,64.8545717592592
"229",197.122,208.381,11.3261291886813,221,64.8186689814815
"230",199.488,206.923,7.55526092774889,132,62.8439583333333
"230",201.443,208.208,6.84862576062656,221,64.8197222222222
"231",200.585,207.928,7.53087851436212,87,61.8141319444444
"231",196.409,212.351,16.0531558764177,221,64.8199537037037
"232",198.769,206.195,7.50615432007837,131,62.8213310185185
"232",200.382,209.389,9.09020534557024,221,64.8207523148148
"233",199.835,206.275,6.62110112420348,87,61.8154166666667
"233",195.438,207.867,12.5288029880299,221,64.8211342592593
"234",202.424,206.944,4.66394756024161,39,60.7959606481481
"234",196.825,212.678,16.0488692331118,130,62.7955671296296
"234",199.7,209.414,9.87955722336807,221,64.8372685185185
"235",194.215,205.347,11.2851295739144,219,64.8508333333333
"237",199.688,206.178,6.5604202138833,126,62.8357407407407
"237",201.334,207.726,6.51784456391482,217,64.8521643518518
"239",199.383,207.1,7.82523053733908,217,64.8534953703704
"240",197.546,209.171,11.7555234626622,217,64.8544675925926
"241",204.465,211.134,6.7459031672642,131,62.8192361111111
"241",206.4,212.326,5.99457840291598,221,64.8187847222222
"242",199.85,207.872,8.0733008013334,221,64.8196064814815
"243",199.564,205.962,6.49408851459637,132,62.8443171296296
"243",200.973,207.868,6.96817888470903,221,64.8200694444444
"244",198.35,205.042,6.87949284722609,39,60.7943518518519
"244",194.326,209.389,15.2508252755705,130,62.8021412037037
"244",196.155,215.667,19.7135998537062,222,64.8460763888889
"245",201.117,207.566,6.54815104091816,131,62.8218171296296
"245",201.167,211.63,10.5552694323034,221,64.82125
"246",199.806,208.146,8.43290188745505,131,62.8226273148148
"246",201.552,211.2,9.74445488562063,221,64.8218402777778
"247",200.154,209.707,9.81554140544733,83,61.8071643518518
"247",205.617,212.83,7.35762943734724,127,62.8345486111111
"247",204.065,214.294,10.4411475323367,218,64.8509490740741
"248",195.747,204.312,8.68192426038962,217,64.8517824074074
"250",203.335,209.556,6.30919877400018,126,62.8366666666667
"250",204.648,212.183,7.66724813900927,217,64.853125
"251",192.671,203.667,11.1383121521646,217,64.8536342592593
"252",197.521,207.758,10.3567886889299,217,64.8543518518518
"253",154.82,158.098,3.35093086019492,39,60.7922222222222
"253",153.114,158.128,5.10414828753798,131,62.8193518518518
"253",152.036,156.568,4.61979806739572,221,64.8189120370371
"254",198.946,205.522,6.66240594302516,131,62.8199305555556
"254",199.286,208.443,9.26030582969969,221,64.8194907407407
"255",196.821,203.519,6.78606554188775,131,62.8206365740741
"255",198.251,205.972,7.80636002660063,221,64.8201736111111
"256",193.698,200.969,7.49217514738811,87,61.8149305555556
"256",197.248,204.027,6.90907344914211,131,62.8212152777778
"256",194.636,207.035,12.5364281933606,220,64.7962384259259
"257",194.292,201.915,7.71705322796512,131,62.8219328703704
"257",195.752,204.773,9.10544345973435,221,64.8213773148148
"258",200.605,207.49,6.9720774670356,131,62.8225115740741
"258",201.916,210.959,9.12409589902589,221,64.821724537037
"259",191.902,200.798,9.007681640084,218,64.8510763888889
"260",151.326,154.003,2.74835667812991,35,60.7869907407407
"260",151.432,154.311,3.03846613302306,83,61.8078703703704
"260",151.617,155.404,3.88487939799859,127,62.8352546296296
"260",149.375,154.89,5.66328987027887,218,64.8516550925926
"261",208.257,216.055,7.90231381350233,217,64.8523958333333
"262",203.784,209.858,6.2900415231536,82,61.8092013888889
"262",206.364,212.266,6.04090593297215,126,62.8365509259259
"262",203.844,215.288,11.6659921335535,217,64.8530092592593
"263",156.759,160.569,3.86168670082228,34,60.7890046296296
"263",156.234,159.926,3.77765724071182,126,62.8372800925926
"263",154.999,164.93,10.0627846049146,217,64.85375
"264",200.16,208.287,8.25643755347971,217,64.8542129629629
"265",196.552,203.601,7.10368103560364,221,64.8190162037037
"266",192.396,199.748,7.51996666997749,87,61.8135416666667
"266",190.407,202.252,11.9457026594386,221,64.819375
"267",206.996,213.705,6.78647279457772,131,62.8207523148148
"267",208.442,215.773,7.41108535348812,221,64.8202893518519
"268",206.762,214.557,7.98175236568551,87,61.8148148148148
"268",203.85,216.201,12.4360932368845,221,64.8206365740741
"269",200.673,207.111,6.54116725082233,132,62.8458680555556
"269",203.069,206.198,3.17127611867517,221,64.8214930555556
"270",201.014,208.452,7.64513770200853,87,61.816099537037
"270",204.865,211.208,6.51666419321475,132,62.8462152777778
"270",202.574,213.305,10.8670878776846,221,64.8216087962963
"271",200.901,212.932,12.1441867002987,218,64.8511921296296
"272",214.758,221.379,6.69085512080059,127,62.8351388888889
"272",216.718,222.838,6.24149610945881,218,64.8515393518518
"273",195.133,201.042,5.99893965041773,125,62.8086111111111
