"idObs","idPot","decimalDay","HourOnDay","E","nobs","min_decimalDay","max_decimalDay","surface","E_mmol_per_m2_s","idGenotype","idPotManip","Sowing","Sowing_decimalDay","Measuring_decimalDay","Days_Sowing_to_measuring","meanVPD","E_mmol_per_m2_s_kPa","SWC","idWatering","Time","Exact_Time_min"
1,"101",102.395833333333,0.3958333333,0.00160769343798915,8,102.381898148148,102.527326388889,976.453242354914,1.64646228641924,"sex1-3","C2M43-101",2018-03-02,61,102,41,0.933238095238095,1.76424676062884,1.68992692307692,"WW",-0.9375,-1350
2,"101",102.416666666667,0.4166666667,0.00163176050613383,9,102.381898148148,102.549456018519,977.528506619988,1.66927153027587,"sex1-3","C2M43-101",2018-03-02,61,102,41,0.93352,1.78814758149356,1.68950256410256,"WW",-0.916666666666657,-1320
3,"101",102.4375,0.4375,0.00165286471891536,10,102.381898148148,102.569386574074,978.622896734033,1.68897000512811,"sex1-3","C2M43-101",2018-03-02,61,102,41,0.932148148148148,1.81191155985612,1.68907692307692,"WW",-0.895833333333329,-1290
4,"101",102.458333333333,0.4583333333,0.00167211538445181,11,102.381898148148,102.590578703704,979.704603214203,1.70675464723342,"sex1-3","C2M43-101",2018-03-02,61,102,41,0.933290322580645,1.82874996765643,1.68864475524476,"WW",-0.875,-1260
5,"101",102.479166666667,0.4791666667,0.00168536704639361,12,102.381898148148,102.611006944444,980.790563229638,1.71837608310981,"sex1-3","C2M43-101",2018-03-02,61,102,41,0.932454545454545,1.84285238512313,1.6882141025641,"WW",-0.854166666666657,-1230
6,"101",102.5,0.5,0.00169264787912171,13,102.381898148148,102.631875,981.872388057937,1.72389803370439,"sex1-3","C2M43-101",2018-03-02,61,102,41,0.932944444444444,1.84780352567611,1.68778579881657,"WW",-0.833333333333329,-1200
7,"101",102.520833333333,0.5208333333,0.00171924429991795,13,102.402488425926,102.6528125,984.043069236393,1.74712302099955,"sex1-3","C2M43-101",2018-03-02,61,102,41,0.929297297297297,1.88004745745065,1.68694556213018,"WW",-0.8125,-1170
8,"101",102.541666666667,0.5416666667,0.00173861889766568,13,102.423587962963,102.67369212963,986.212217061173,1.76292573503765,"sex1-3","C2M43-101",2018-03-02,61,102,41,0.930162162162162,1.89528859241031,1.6860899408284,"WW",-0.791666666666657,-1140
9,"101",102.5625,0.5625,0.00174975508912018,13,102.444675925926,102.694259259259,988.379393431227,1.77032736694944,"sex1-3","C2M43-101",2018-03-02,61,102,41,0.930942857142857,1.90164987395974,1.6852449704142,"WW",-0.770833333333329,-1110
10,"101",102.583333333333,0.5833333333,0.0017435693093665,13,102.465960648148,102.71494212963,990.539779235003,1.76022139233324,"sex1-3","C2M43-101",2018-03-02,61,102,41,0.928342857142857,1.89608976768631,1.68437869822485,"WW",-0.75,-1080
