"idPot","weight_before","weight_after","predicted_water_add","from_id","decimalDay","note"
"73",188.954,198.116,15.3763884545465,22,102.376921296296,"before"
"73",155.618,167.882,12.468797769599,184,106.361990740741,"before"
"74",172.69,184.122,19.8222828412642,22,102.377337962963,"before"
"74",139.07,150.061,11.1109097482287,184,106.362534722222,"before"
"75",182.973,190.854,16.1275413453113,22,102.382546296296,"before"
"75",144.881,156.199,11.4494172283228,183,106.366134259259,"before"
"76",189.137,198.178,13.1318776395743,22,102.377986111111,"before"
"76",154.702,167.059,12.5643842477448,184,106.363032407407,"before"
"77",189.212,197.774,15.673161224479,22,102.380833333333,"before"
"77",152.002,164.141,12.3001368360079,183,106.364872685185,"before"
"78",176.367,195.766,29.3952451207894,22,102.382118055556,"before"
"78",142.534,153.862,11.4445600153888,183,106.365810185185,"before"
"79",193.883,200.948,13.6220706706421,22,102.378391203704,"before"
"79",158.681,169.817,11.3313095579239,184,106.36337962963,"before"
"87",193.209,204.409,13.8295891824102,22,102.375659722222,"before"
"87",186.624,198.992,12.5038790443885,184,106.360949074074,"before"
"88",197.547,208.645,13.8782683970163,22,102.377766203704,"before"
"88",189.016,201.338,12.4892286891761,184,106.362847222222,"before"
"89",202.757,211.896,11.9795646597275,22,102.381481481481,"before"
"89",191.945,204.39,12.6111292297973,184,106.365335648148,"before"
"90",187.946,198.309,14.3848341581961,22,102.37712962963,"before"
"90",170.222,181.381,11.3667556002806,184,106.362361111111,"before"
"91",197.435,208.125,14.1646681626021,22,102.376099537037,"before"
"91",183.384,195.582,12.383915031751,184,106.361296296296,"before"
"92",188.85,196.544,12.1511635166846,22,102.380196759259,"before"
"92",165.875,178.178,12.5338757837311,183,106.364398148148,"before"
"93",193.76,201.711,12.6400199404732,22,102.37755787037,"before"
"93",169.023,181.406,12.642476646465,184,106.362708333333,"before"
"101",194.957,206.742,13.1175812069341,22,102.381898148148,"before"
"101",197.463,209.935,12.5395832525965,184,106.365636574074,"before"
"103",195.043,206.626,13.320586999256,22,102.376724537037,"before"
"103",193.85,205.979,12.3478111275766,184,106.361793981481,"before"
"104",192.685,201.348,10.7966798983988,22,102.380428240741,"before"
"104",185.495,198.04,12.6718972909194,183,106.364560185185,"before"
"105",192.525,204.408,13.1028314887091,22,102.382766203704,"before"
"105",195.196,207.727,12.5987454958107,184,106.366284722222,"before"
"108",182.635,193.716,21.3537600496298,22,102.379270833333,"before"
"108",156.351,165.264,9.16136930288883,184,106.36375,"before"
"109",192.968,200.478,11.7512944538152,22,102.380625,"before"
"109",148.176,160.353,12.3145816524408,183,106.364710648148,"before"
"112",189.428,198.596,15.2811089795114,22,102.381053240741,"before"
"112",150.614,162.284,11.9257041703339,183,106.365046296296,"before"
"114",203.279,213.602,11.3399918171324,22,102.376527777778,"before"
"114",204.569,216.928,12.4343733478746,184,106.36162037037,"before"
"116",208.157,219.9,13.1775690404781,22,102.379976851852,"before"
"116",208.547,221.006,12.546361927147,184,106.364224537037,"before"
"117",203.75,215.42,13.0404427749743,22,102.382349537037,"before"
"117",202.753,215.705,13.0458614938614,183,106.36599537037,"before"
"119",208.841,218.427,11.2636504029403,22,102.37630787037,"before"
"119",205.496,217.835,12.4348250206364,184,106.361446759259,"before"
"120",203.495,213.008,10.5806999513334,22,102.378622685185,"before"
"120",205.137,213.727,10.2170868910834,184,106.363564814815,"before"
"122",193.485,204.567,13.9197951807248,22,102.381261574074,"before"
"122",182.674,191.654,9.16036331219118,183,106.365185185185,"before"
"123",197.192,207.136,14.7637146938896,22,102.378206018519,"before"
"124",202.718,213.972,18.692080065712,22,102.379490740741,"before"
"124",193.585,198.959,4.1248850836111,184,106.363912037037,"before"
"125",190.661,201.095,14.4865064033384,22,102.37587962963,"before"
"125",172.034,183.955,12.1262011018274,184,106.361134259259,"before"
"126",190.061,198.249,13.2653951597278,22,102.375046296296,"before"
"126",163.028,175.308,12.4971777358588,184,106.357905092593,"before"
"127",197.644,205.659,11.9373869293422,22,102.381689814815,"before"
"127",175.842,188.047,12.4562931803655,184,106.365462962963,"before"
"128",196.778,206.512,15.0615147050267,22,102.379780092593,"before"
"128",168.664,180.193,11.7636622543789,184,106.3640625,"before"
