Label;idPotManip;Area (cm2);Time;Date
C3M31-55-V-20180219-0003.JPG;C3M31-55;39.63503838;19/02/2018;19/02/2018 14:30:00
C3M31-55-V-20180220-0017.JPG;C3M31-55;40.12810161;20/02/2018;20/02/2018 10:00:00
C3M31-55-V-20180221-0029.JPG;C3M31-55;43.55776229;21/02/2018;21/02/2018 16:00:00
C3M31-55-V-20180222-0036.JPG;C3M31-55;50.2130093;22/02/2018;22/02/2018 16:00:00
C3M31-57-V-20180219-0003.JPG;C3M31-57;61.41566674;19/02/2018;19/02/2018 14:33:00
C3M31-57-V-20180220-0017.JPG;C3M31-57;61.48089599;20/02/2018;20/02/2018 10:03:00
C3M31-57-V-20180221-0029.JPG;C3M31-57;64.63286644;21/02/2018;21/02/2018 16:03:00
C3M31-57-V-20180222-0036.JPG;C3M31-57;67.28571667;22/02/2018;22/02/2018 16:03:00
C3M31-59-V-20180219-0003.JPG;C3M31-59;50.5539486;19/02/2018;19/02/2018 14:36:00
C3M31-59-V-20180220-0017.JPG;C3M31-59;55.16950031;20/02/2018;20/02/2018 10:06:00
C3M31-59-V-20180221-0029.JPG;C3M31-59;60.86750809;21/02/2018;21/02/2018 16:06:00
C3M31-59-V-20180222-0036.JPG;C3M31-59;66.78251961;22/02/2018;22/02/2018 16:06:00
C3M31-61-V-20180219-0003.JPG;C3M31-61;52.23732912;19/02/2018;19/02/2018 14:31:00
C3M31-61-V-20180220-0017.JPG;C3M31-61;56.38159951;20/02/2018;20/02/2018 10:01:00
C3M31-61-V-20180221-0029.JPG;C3M31-61;60.80029867;21/02/2018;21/02/2018 16:01:00
C3M31-61-V-20180222-0036.JPG;C3M31-61;62.12037558;22/02/2018;22/02/2018 16:01:00
C3M31-63-V-20180219-0003.JPG;C3M31-63;53.60353243;19/02/2018;19/02/2018 14:33:00
C3M31-63-V-20180220-0017.JPG;C3M31-63;55.65697246;20/02/2018;20/02/2018 10:04:00
C3M31-63-V-20180221-0029.JPG;C3M31-63;60.09279429;21/02/2018;21/02/2018 16:04:00
C3M31-63-V-20180222-0036.JPG;C3M31-63;63.5410919;22/02/2018;22/02/2018 16:03:00
C3M31-65-V-20180219-0003.JPG;C3M31-65;53.64115573;19/02/2018;19/02/2018 14:38:00
C3M31-65-V-20180220-0017.JPG;C3M31-65;58.077327;20/02/2018;20/02/2018 10:06:00
C3M31-65-V-20180221-0029.JPG;C3M31-65;60.64526273;21/02/2018;21/02/2018 16:07:00
C3M31-65-V-20180222-0036.JPG;C3M31-65;65.85405115;22/02/2018;22/02/2018 16:06:00
C3M31-67-V-20180219-0003.JPG;C3M31-67;56.63517822;19/02/2018;19/02/2018 14:31:00
C3M31-67-V-20180220-0017.JPG;C3M31-67;56.83762185;20/02/2018;20/02/2018 10:01:00
C3M31-67-V-20180222-0036.JPG;C3M31-67;62.88122817;21/02/2018;22/02/2018 16:01:00
C3M31-67-V-20180221-0029.JPG;C3M31-67;64.01773134;22/02/2018;21/02/2018 16:01:00
C3M31-69-V-20180219-0003.JPG;C3M31-69;58.38576816;19/02/2018;19/02/2018 14:34:00
C3M31-69-V-20180220-0017.JPG;C3M31-69;62.01682415;20/02/2018;20/02/2018 10:04:00
C3M31-69-V-20180221-0029.JPG;C3M31-69;64.20514894;21/02/2018;21/02/2018 16:04:00
C3M31-69-V-20180222-0036.JPG;C3M31-69;65.6547525;22/02/2018;22/02/2018 16:04:00
C3M31-71-V-20180219-0003.JPG;C3M31-71;51.0435174;19/02/2018;19/02/2018 14:38:00
C3M31-71-V-20180220-0017.JPG;C3M31-71;54.8389278;20/02/2018;20/02/2018 10:07:00
C3M31-71-V-20180221-0029.JPG;C3M31-71;59.84527259;21/02/2018;21/02/2018 16:08:00
C3M31-71-V-20180222-0036.JPG;C3M31-71;66.64029655;22/02/2018;22/02/2018 16:06:00
