idPot;idPotManip;idGenotype;Treatment;Sowing
55;C3M31-55;Col-0;WW;10/01/2018
57;C3M31-57;Col-0;WW;10/01/2018
59;C3M31-59;Col-0;WW;10/01/2018
61;C3M31-61;Col-0;WW;10/01/2018
63;C3M31-63;Col-0;WW;10/01/2018
65;C3M31-65;Col-0;WW;10/01/2018
67;C3M31-67;Col-0;WW;10/01/2018
69;C3M31-69;Col-0;WW;10/01/2018
71;C3M31-71;Col-0;WW;10/01/2018
