"idObs","idPot","decimalDay","HourOnDay","E","nobs","min_decimalDay","max_decimalDay","surface","E_mmol_per_m2_s","idPotManip","idGenotype","idWatering","Sowing","Sowing_decimalDay","Measuring_decimalDay","Days_Sowing_to_measuring","meanVPD","E_mmol_per_m2_s_kPa","SWC","Time","Exact_Time_min"
1,"55",50.6041666666667,0.6041666667,0.00442112156951113,8,50.5920833333333,50.7292824074074,3854.69326352971,1.14694510490382,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.7613,1.50656128320481,1.34210934946061,-0.729166666666671,-1050
2,"55",50.625,0.625,0.00437962729951125,9,50.5920833333333,50.7500925925926,3860.84737190527,1.13436944733455,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.761,1.49063002277865,1.34098652428172,-0.708333333333336,-1020
3,"55",50.6458333333333,0.6458333333,0.0043445542917442,10,50.5920833333333,50.7709606481481,3867.01130545947,1.12349148956729,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.760153846153846,1.47797908969589,1.33986923831317,-0.6875,-990
4,"55",50.6666666666667,0.6666666667,0.00431168837366742,11,50.5920833333333,50.7917708333333,3873.18507987843,1.11321516652201,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.758793103448276,1.46708656346913,1.33876043864602,-0.666666666666671,-960
5,"55",50.6875,0.6875,0.00430280811739194,12,50.5920833333333,50.8126157407407,3879.36871087333,1.10915162699843,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.7581875,1.46289885681105,1.33763484798954,-0.645833333333336,-930
6,"55",50.7083333333333,0.7083333333,0.00428699130692534,14,50.5920833333333,50.8334259259259,3885.56221418041,1.10331300095515,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.757857142857143,1.4558324235035,1.33563255966002,-0.625,-900
7,"55",50.7291666666667,0.7291666667,0.00423822037269564,12,50.6251041666667,50.8334259259259,3891.76560556107,1.08902251631997,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.7577,1.43727400860495,1.33342731829574,-0.604166666666671,-870
8,"55",50.75,0.75,0.00418092076322754,10,50.6667939814815,50.8334259259259,3897.97890080184,1.07258681219837,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.754833333333333,1.42095846173332,1.33120137299771,-0.583333333333336,-840
9,"55",50.7708333333333,0.7708333333,0.00421687405805365,8,50.7084259259259,50.8334259259259,3904.20211571446,1.08008600299679,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.754222222222222,1.43205274410299,1.3290863027133,-0.5625,-810
10,"55",50.7916666666667,0.7916666667,0.00421687405805365,8,50.7084259259259,50.8334259259259,3910.43526613593,1.0783643689416,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.754222222222222,1.42977008256841,1.3290863027133,-0.541666666666671,-780
11,"55",50.8125,0.8125,0.00421435252610289,7,50.7292824074074,50.8334259259259,3916.67836792852,1.07600168566606,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.753266666666667,1.42844723294017,1.32802736655303,-0.520833333333336,-750
12,"55",50.8333333333333,0.8333333333,0.00423429652091851,6,50.7500925925926,50.8334259259259,3922.93143697983,1.07937051384676,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.751833333333333,1.43565131524729,1.3269968399259,-0.5,-720
13,"55",50.8541666666667,0.8541666667,0.00196715335479899,5,50.8334259259259,50.8959259259259,3929.19448920281,0.500650543057771,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.732111111111111,0.683845027700705,1.3215920235371,-0.479166666666671,-690
