"Exact_Time_min","Trt","E_corr_avg","SD","N","SE","CI","E_corr_offset_avg","Time"
-1050,"Col-0 - WW",1.23418806472754,0.097007185267465,9,0.0342972192632221,0.074566323457097,1.23418806472754,-0.729166666666667
-1020,"Col-0 - WW",1.2159542446322,0.0922239978593632,9,0.0326061071372447,0.0708896401429172,1.2159542446322,-0.708333333333333
-990,"Col-0 - WW",1.2052256320609,0.0895488879677354,9,0.0316603129648501,0.0688333686521775,1.2052256320609,-0.6875
-960,"Col-0 - WW",1.19509420074089,0.086881643978616,9,0.0307172998089574,0.0667831434293415,1.19509420074089,-0.666666666666667
-930,"Col-0 - WW",1.18962467524366,0.0839229058639447,9,0.0296712279166378,0.0645088559868688,1.18962467524366,-0.645833333333333
-900,"Col-0 - WW",1.18226516613451,0.0832712258659823,9,0.0294408242437764,0.0640079303968251,1.18226516613451,-0.625
-870,"Col-0 - WW",1.16229072279383,0.0787345230025302,9,0.0278368575642887,0.0605207118757208,1.16229072279383,-0.604166666666667
-840,"Col-0 - WW",1.1452899246455,0.0769086962800224,9,0.0271913303359102,0.0591172572182977,1.1452899246455,-0.583333333333333
-810,"Col-0 - WW",1.14532778485059,0.0715457783082929,9,0.0252952525035317,0.054994953545108,1.14532778485059,-0.5625
-780,"Col-0 - WW",1.14532778485059,0.0715457783082929,9,0.0252952525035317,0.054994953545108,1.14532778485059,-0.541666666666667
-750,"Col-0 - WW",1.144960050871,0.0690544147204441,9,0.0244144224598471,0.0530799219664825,1.144960050871,-0.520833333333333
-720,"Col-0 - WW",1.15395581388306,0.0750874325727493,9,0.0265474163770394,0.0577173100048747,1.15395581388306,-0.5
-690,"Col-0 - WW",0.546977321993152,0.0403194811423807,9,0.0142550892648503,0.0309922967478721,0.546977321993152,-0.479166666666667
-660,"Col-0 - WW",0.538691333208101,0.0403799325492852,9,0.0142764620647275,0.031038763812639,0.538691333208101,-0.458333333333333
-630,"Col-0 - WW",0.534158338693521,0.0401273889196574,9,0.0141871744081998,0.0308446415945586,0.534158338693521,-0.4375
-600,"Col-0 - WW",0.527522545159766,0.0402408115807373,9,0.0142272753745947,0.0309318259697173,0.527522545159766,-0.416666666666667
-570,"Col-0 - WW",0.523750677796691,0.0403286951942017,9,0.0142583469241127,0.0309993792950725,0.523750677796691,-0.395833333333333
-540,"Col-0 - WW",0.520906933552394,0.0404434475974152,9,0.0142989180253475,0.0310875858005175,0.520906933552394,-0.375
-510,"Col-0 - WW",0.516613803372086,0.0407048469762519,9,0.0143913366620342,0.0312885151500299,0.516613803372086,-0.354166666666667
-480,"Col-0 - WW",0.51393233767916,0.0405050867439757,9,0.0143207107546073,0.0311349658428038,0.51393233767916,-0.333333333333333
-450,"Col-0 - WW",0.514486254699289,0.0403654110116899,9,0.014271327925874,0.0310276015707242,0.514486254699289,-0.3125
