"idGenotype","idWatering","SWC_drop","idPot","idPeriod","diel_trend","diel_trend_baseline","E_diel_obs","A_rapid_op_obs","A_rapid_op_transition_obs","A_rapid_op_stable_obs","A_rapid_clo_obs","E_EON_before_obs","E_EON_obs","E_day_mean_obs","E_day_max_obs","t_day_max_obs","sigma_day_obs","Delta_day_obs","Sigma_preclo_obs","E_night_mean_obs","E_night_min_obs","t_night_min_obs","sigma_night_obs","Delta_night_obs","Sigma_preop_obs","t1_fit","t2_fit","adjR2","RMSE","E_EON_before_mod","E_EON_mod","E_mean","A_SQW","A1","phi1","A2","phi2","acclim_slope","E_day_mean_mod","E_day_max_mod","t_day_max_mod","sigma_day_mod","Delta_day_mod","Sigma_preclo_mod","E_night_mean_mod","E_night_min_mod","t_night_min_mod","sigma_night_mod","Delta_night_mod","Sigma_preop_mod"
"Col-0","WW","moderate",73,"Control",0.0120549435760979,1.31545993633444,1.29330899913231,1.11906385557572,NA,1.11906385557572,0.994073850334155,NA,0.820164386521291,1.85395696553638,1.96085264852435,0.166666666666667,-0.58936250057403,2.41618273352202,3.93279549385457,0.732661032728235,0.662751526904463,0.520833333333333,0.328513793982946,-0.380027116136493,2.87841907793181,-0.938194444444444,3,0.94637044221948,0.132871912288629,NA,0.852945374921211,1.29268431740829,0.502026057346933,0.135006262520591,0.121802748188727,0.0358693693353224,-0.0841212236693277,NA,1.85545398532226,1.95669752790025,0.170875420875421,-0.426967415267778,3.48015474337823,3.76654725931729,0.731806591068699,0.656707994585147,0.549873737373737,0.40348297404324,-1.02350890693327,3.09638781464204
"Col-0","WW","moderate",73,"Low light 1",0.0120549435760979,1.31545993633444,0.979829580984343,0.27115363851713,0.27115363851713,0.337854276120517,0.231290425633935,0.820164386521291,0.753463748917903,1.22137849211707,1.36458203680378,0.229166666666667,-0.0151606463622124,5.77552486764643,3.64318589482788,0.73828066985162,0.710985346820541,0.6875,-0.207233476392395,-2.80077549632479,0.741851397124959,3,4,0.986039585383375,0.0280357763269596,0.852945374921211,0.812287008220903,0.979829580984343,0.1397406900993,0.162158734983694,0.0167285749920484,0.0466982684887743,-0.102322108296575,NA,1.22594831985343,1.32835782916162,0.228956228956229,-0.124913598999819,5.78292050210413,2.70829624493962,0.736529616512929,0.719848568932286,0.825757575757576,0.104357229164599,-2.12280198593034,0.423083846518284
"Col-0","WW","moderate",73,"Low light 2",0.0120549435760979,1.31545993633444,NA,0.411828359349909,0.411828359349909,NA,NA,0.753463748917903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.29236111111111,NA,NA,0.812287008220903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW","fast",74,"Control",-0.168573025985873,1.33857198375541,1.33010946932382,1.0420670067493,NA,1.0420670067493,0.911475829701513,NA,0.91944941721699,1.83655305438085,1.96658136818435,0.0416666666666667,-0.673261135761788,1.56983518904327,5.31320394212523,0.823665884266801,0.72743630004559,0.520833333333333,0.400723027140315,0.00963470745403292,3.98430623290208,-0.938194444444444,3,0.913396630635843,0.155160052608254,NA,0.935120639007334,1.32855141029066,0.458346691988454,0.125736322222033,0.140917183305461,0.0326032115752735,-0.116695609870676,NA,1.8359276922784,1.92379889363446,0.175715488215488,-0.430378262267865,3.16521218359504,3.30227626506772,0.82326722292897,0.72879805468412,0.549873737373737,0.422097730486876,-0.448671872780502,3.90285294318624
"Col-0","WW","fast",74,"Low light 1",-0.168573025985873,1.33857198375541,1.27625945375785,0.255335328366611,0.255335328366611,-0.0482661767326351,0.217504445247521,0.91944941721699,1.22305092231624,1.35542108765163,1.43123699201817,0.4375,0.517212299780577,2.45034267460996,0.0248299175808807,1.19709781986406,1.133362043516,0.5625,0.0374394330475738,-0.733675893891747,2.52948625675908,3,4,0.863415618678333,0.0348425064123177,0.935120639007334,1.18815035003689,1.27625945375785,0.0519188474769173,0.0484211116114283,-0.0881312723599056,0.0638077057447404,-0.236558373121207,NA,1.35688854081013,1.43994711876913,0.359638047138047,0.127821010048617,1.86507652024749,0.435765296813444,1.19687387314005,1.14906524774939,0.641835016835017,-0.0613968940055631,-0.250409901441922,1.73018646007803
"Col-0","WW","fast",74,"Low light 2",-0.168573025985873,1.33857198375541,NA,0.272895533899896,0.272895533899896,NA,NA,1.22305092231624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.29236111111111,NA,NA,1.18815035003689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW","fast",75,"Control",-0.0571843755785504,1.40312032724487,1.37859256280532,0.906998643614497,NA,0.906998643614497,0.955376488073479,NA,0.98585156134121,1.87198342671734,1.94281508709201,0.208333333333333,-0.328569820965187,2.49925282709233,2.31965012894055,0.885201698893295,0.780034011003077,0.520833333333333,0.42953227896654,0.0975850295537604,4.35800832155311,-0.938194444444444,3,0.983745017520623,0.0621334220897313,NA,0.978568105530075,1.37833368433142,0.450704624781058,0.106382901266188,0.131925995797134,0.0314019194103425,-0.165164795059654,NA,1.87374723626958,1.93501556303469,0.204755892255892,-0.339273368806338,2.89967828089942,2.17874980969481,0.884849113668457,0.796691861898258,0.574074074074074,0.351768306136644,-0.394937181877443,3.62441585570281
"Col-0","WW","fast",75,"Low light 1",-0.0571843755785504,1.40312032724487,1.01727273116774,0.187395643583538,0.187395643583538,0.342555715910372,0.292296767676777,0.98585156134121,0.830691489014376,1.18879539730916,1.21295344116372,0.3125,-0.0347522137090428,1.14898741612463,0.364355221275636,0.845750065026327,0.81822013029084,0.645833333333333,-0.0701360260828083,-0.075377386240786,1.03923663879983,3,4,0.995361836779926,0.0107566512121614,0.978568105530075,0.861276662943947,1.01852494100389,0.160628725420794,0.0216232253125384,0.0677781318738464,0.0174921664506779,-0.224296437062963,NA,1.19192992249724,1.20958246255977,0.311237373737374,-0.0339240576907179,0.800175169260137,0.271572178009638,0.845626062746005,0.820999435218137,0.61763468013468,0.0510537899340948,-0.14301089788662,0.972290680754985
"Col-0","WW","fast",75,"Low light 2",-0.0571843755785504,1.40312032724487,NA,0.31382143994933,0.31382143994933,NA,NA,0.830691489014376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.29236111111111,NA,NA,0.861276662943947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW","moderate",76,"Control",0.00928935843950485,1.34193992173159,1.32122425834653,1.05737332465949,NA,1.05737332465949,0.996565394189196,NA,0.864194631067788,1.87319575247164,2.00472991165999,0.0416666666666667,-0.519738298147098,3.28961220517902,5.23360125484228,0.769252764221419,0.675961293675931,0.520833333333333,0.392834791078658,-0.0356485600989753,3.86078152391242,-0.938194444444444,3,0.942261172520981,0.136241717851446,NA,0.888348679949302,1.32056251716921,0.505350031951447,0.132719647661931,0.14812029586328,0.0369095301574733,-0.089550508528258,NA,1.87432002324384,1.9784405675847,0.161195286195286,-0.474939088644172,3.11023229594746,3.99102020598511,0.768847054948929,0.670674785253059,0.530513468013468,0.453021434370257,-0.458681846117057,4.0594173994218
"Col-0","WW","moderate",76,"Low light 1",0.00928935843950485,1.34193992173159,1.00528243221626,0.254147459779594,0.254147459779594,0.323605746918642,0.260871398629891,0.864194631067788,0.794736343928741,1.21895825724119,1.32652863329608,0.25,-0.00962686981325056,4.4462564907796,2.77424154151179,0.791606607191341,0.761057948300508,0.645833333333333,-0.121296987485012,-1.39062844752551,1.04467054084844,3,4,0.98615829384789,0.0246870496789576,0.888348679949302,0.851422794468463,1.00528243221627,0.133245989252675,0.130236637527392,0.0290705577286751,0.0445653168363194,-0.115834655787027,NA,1.22288109698132,1.31273080233573,0.233796296296296,-0.139118482707142,4.97450811202067,2.39833726291515,0.790535867614969,0.768789712430523,0.603114478114478,0.127289609625676,-1.27111679841595,0.838718174468878
"Col-0","WW","moderate",76,"Low light 2",0.00928935843950485,1.34193992173159,NA,0.408265101765527,0.408265101765527,NA,NA,0.794736343928741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.29236111111111,NA,NA,0.851422794468463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW","fast",77,"Control",-0.0830208787800198,1.42432741837705,1.40755146044638,1.15067646851433,NA,1.15067646851433,1.02452009734346,NA,0.909361427400299,1.99078572183519,2.10424224045005,0.1875,-0.639786430084964,3.63009563114776,4.11962013213909,0.824317199057558,0.728953467488793,0.520833333333333,0.376503568510969,0.222901269682122,3.9573460398503,-0.938194444444444,3,0.948814469751909,0.135075634432161,NA,0.943622518329415,1.40628645324548,0.516424434133119,0.151264401191317,0.120538369336644,0.0542096660798415,-0.0940440422027568,NA,1.9918426338663,2.11423894563187,0.180555555555556,-0.476511345767368,4.56039489492044,4.39910452556808,0.823834699579196,0.727825870267111,0.535353535353535,0.44716686684807,-0.529362617995301,3.96856779518714
"Col-0","WW","fast",77,"Low light 1",-0.0830208787800198,1.42432741837705,NA,0.349999579017138,0.349999579017138,NA,NA,0.909361427400299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,0.943622518329415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW","fast",77,"Low light 2",-0.0830208787800198,1.42432741837705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.29236111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW","fast",78,"Control",-0.173944469031867,1.47686914193998,1.38218881749816,0.935110370951494,NA,0.935110370951494,0.950164951419061,NA,1.12527729976315,1.80236643873125,1.84995358702892,0.229166666666667,NA,NA,1.17223857822974,0.962011196265082,0.778584679854796,0.520833333333333,0.723532424156565,0.435464918903984,7.61200215100684,-0.938194444444444,3,0.994240454966835,0.0306359763641477,NA,1.05549388460793,1.38418265353281,0.405693327015567,0.0950452979452279,0.195718192379097,0.0593248558449395,-0.233015350943679,NA,1.80752637141571,1.85568606704516,0.0208333333333333,-0.350497792028425,1.49773101594303,1.9787689587389,0.962160393117749,0.827973724806432,0.593434343434343,0.411344328879166,0.218153359315964,5.4926335117314
"Col-0","WW","fast",78,"Low light 1",-0.173944469031867,1.47686914193998,1.37090539975802,0.141010676795579,0.141010676795579,-0.00978063437676324,0.293372778022433,1.12527729976315,1.27606861093549,1.47062071097498,1.57492270311499,0.354166666666667,0.604585952579766,2.67154561151072,0.109136332424915,1.27119008854107,1.22914059350043,0.583333333333333,0.0280820385142098,0.0798969311828834,1.69375186211953,3,4,0.918744108935284,0.0333035927768692,1.05549388460793,1.23724184536689,1.37256141907083,0.0707723318966917,0.0671942191363905,-0.133675327502585,0.0772360434103142,-0.234954774193401,NA,1.47568414195471,1.58715105658289,0.364478114478115,0.235658541493683,2.22879083032393,0.464593742498613,1.27104170669805,1.22714870535971,0.646675084175084,-0.155772618865075,-0.147315825398999,1.49888103568661
"Col-0","WW","fast",78,"Low light 2",-0.173944469031867,1.47686914193998,NA,0.25779999266676,0.25779999266676,NA,NA,1.27606861093549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.29236111111111,NA,NA,1.23724184536689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW","moderate",79,"Control",-0.0528967557864296,1.33333753885532,1.28528441040129,1.0827109318977,NA,1.0827109318977,1.01180456470838,NA,0.80648365234979,1.83339125296269,1.96411583393447,0.208333333333333,-0.438627383171095,2.12908950431751,4.38475967738173,0.737177567839885,0.664056906185942,0.541666666666667,0.290648877732523,0.0141930337037373,3.02494502585222,-0.938194444444444,3,0.975559796325224,0.0853643282187329,NA,0.836590911010244,1.28941235397435,0.497290415135772,0.126850065757061,0.120595857541534,0.0500656719204701,-0.0813214093084251,NA,1.84463741669567,1.9546285642183,0.175715488215488,-0.404573583258007,3.80137011087885,3.98878055929956,0.736756559647369,0.659047754161299,0.525673400673401,0.370280920186173,-0.465229825610192,3.21231606615583
"Col-0","WW","moderate",79,"Low light 1",-0.0528967557864296,1.33333753885532,1.05894792218701,0.33357735297559,0.33357735297559,0.235252179008216,0.259570211652185,0.80648365234979,0.904808826317164,1.23236503946659,1.32798619066911,0.208333333333333,0.079237586134115,3.1674252584122,2.58015454368787,0.88553080490742,0.851868937616925,0.5625,-0.0284869093119196,-1.12765003627919,1.2743240287737,3,4,0.982211658891313,0.0225901180449748,0.836590911010244,0.931612589638279,1.05894792218701,0.119787369846257,0.0887443426054883,0.0408425207921864,0.030261966936591,-0.116090562398206,NA,1.23499900476908,1.29670468261472,0.228956228956229,-0.120960593156479,3.34065607553775,1.72532624503202,0.884835105354058,0.86435992603218,0.593434343434343,0.113031111089007,-0.823859284887659,0.812460882117755
"Col-0","WW","moderate",79,"Low light 2",-0.0528967557864296,1.33333753885532,NA,0.266822315601871,0.266822315601871,NA,NA,0.904808826317164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.29236111111111,NA,NA,0.931612589638279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pgm","WW","slow",87,"Control",0.0532360725664793,1.43414897297463,1.43074919954065,0.725662926620062,NA,0.725662926620062,0.929812143041534,NA,0.944957924483246,1.93728320307222,2.0613442654159,0.270833333333333,0.473970228433131,6.61422174077424,1.66056454029103,0.924215196009077,0.903369856227702,0.729166666666667,-0.0479196898144087,-1.39205465966336,0.31206157656769,-0.938194444444444,3,0.991831930844652,0.0459668119812128,NA,0.936265904117863,1.43161431305561,0.395461622415827,0.179700433769152,-0.044038649570104,0.0570787565017843,-0.16269092899601,NA,1.94426198191642,2.06375959424817,0.291877104377104,0.167389219469274,6.64921531976371,1.68701096918475,0.922513979089374,0.903880921210749,0.903198653198653,-0.146487974313937,-2.04307651652793,0.0835999753128706
"pgm","WW","slow",87,"Low light 1",0.0532360725664793,1.43414897297463,1.05219743235006,0.28883764116072,0.28883764116072,0.349757660846494,0.111084032334376,0.944957924483246,0.884037904797473,1.26186818197077,1.41814590269415,0.229166666666667,-0.267183479675883,3.97808603996348,4.28133936572635,0.842526682729347,0.806981916222247,0.729166666666667,-0.230918005914624,-4.18328615455935,0.773729817953519,3,4,0.981378614491231,0.0284793089086777,0.936265904117863,0.938909902114947,1.05219743235006,0.107837638239157,0.164158850215693,0.0261509166689037,0.0415725934641405,-0.0708145567353098,NA,1.26597331010026,1.36448680113614,0.20959595959596,-0.172145750922451,5.17948106727768,2.9302368881689,0.84030938443775,0.809281569054958,0.806397306397306,0.139280450433404,-2.72817423308737,0.690477169544551
