"idGenotype","idWatering","SWC_drop","idPot","idPeriod","diel_trend","diel_trend_baseline","E_diel_obs","A_rapid_op_obs","A_rapid_op_transition_obs","A_rapid_op_stable_obs","A_rapid_clo_obs","E_EON_before_obs","E_EON_obs","E_day_mean_obs","E_day_max_obs","t_day_max_obs","sigma_day_obs","Delta_day_obs","Sigma_preclo_obs","E_night_mean_obs","E_night_min_obs","t_night_min_obs","sigma_night_obs","Delta_night_obs","Sigma_preop_obs","t1_fit","t2_fit","adjR2","RMSE","E_EON_before_mod","E_EON_mod","E_mean","A_SQW","A1","phi1","A2","phi2","acclim_slope","E_day_mean_mod","E_day_max_mod","t_day_max_mod","sigma_day_mod","Delta_day_mod","Sigma_preclo_mod","E_night_mean_mod","E_night_min_mod","t_night_min_mod","sigma_night_mod","Delta_night_mod","Sigma_preop_mod"
"Col-0","WW","moderate",73,"Control",0.0107050623528727,1.43378416058058,1.40861066119796,1.16825212768365,NA,1.16825212768365,1.06114008052441,NA,0.919180181470578,1.99493514876044,2.0956565913623,0.166666666666667,-0.600526258794794,2.21956944951472,3.77150963830457,0.822286173635477,0.738540062957314,0.520833333333333,0.376988073418986,-0.28399457858992,3.45525587463469,-0.938194444444444,3,0.940041472910629,0.147349941855296,NA,0.946714271686382,1.40803483115001,0.53125834048866,0.135800110017992,0.131143931568814,0.0322117509697401,-0.0935059970713263,NA,1.99639378074103,2.0946297273915,0.166035353535354,-0.448140861834439,3.30864133139678,3.70886185604215,0.821513371398296,0.736743734601211,0.549873737373737,0.430498621179098,-0.922699913139304,3.49685712191149
"Col-0","WW","moderate",73,"Low light 1",0.0107050623528727,1.43378416058058,1.07770138899988,0.279440287487812,0.279440287487812,0.370203417277005,0.236908200749641,0.919180181470578,0.828417051681385,1.32777656119544,1.44788148632551,0.229166666666667,-0.00986930439830557,5.68169048516301,3.02397717743401,0.827626216804325,0.798132302063084,0.6875,-0.268312017050107,-2.81119344315766,0.729095233729843,3,4,0.98624655770952,0.0286369081875617,0.946714271686382,0.895729545121781,1.07770138899988,0.151788218137901,0.155704910245446,0.0111421742556291,0.0425624021768761,-0.103902774700715,NA,1.33212326907617,1.42759773691068,0.233796296296296,-0.096521960797526,5.49842345912388,2.44721594419118,0.825870665540151,0.807588733041771,0.825757575757576,0.0786324870879676,-2.13386178352786,0.406094427122907
"Col-0","WW","moderate",73,"Low light 2",0.0107050623528727,1.43378416058058,NA,0.443400924375923,0.443400924375923,NA,NA,0.828417051681385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.29236111111111,NA,NA,0.895729545121781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW","fast",74,"Control",-0.186171216626866,1.45910003496257,1.44818290496882,1.08735971943833,NA,1.08735971943833,0.972663977217429,NA,1.02344384030316,1.97744082795225,2.11817553173724,0.0416666666666667,-0.689284459294074,1.37282414039887,5.76258095605232,0.918924981985395,0.807857445778974,0.520833333333333,0.449919432050465,0.141451442394957,4.60408980904559,-0.938194444444444,3,0.907785834030712,0.167770617365203,NA,1.03343181411907,1.44660156082373,0.484693955507571,0.127164693416238,0.150573792935197,0.0317126705679018,-0.130985842292575,NA,1.97665712663919,2.06109890860514,0.170875420875421,-0.449907043263156,3.02535366685182,3.21972807956132,0.918635343112759,0.813777481821537,0.554713804713805,0.447984067303098,-0.31237965577644,4.33314257656219
"Col-0","WW","fast",74,"Low light 1",-0.186171216626866,1.45910003496257,1.40127856502611,0.265422118535346,0.265422118535346,-0.0521878463098764,0.226891028951204,1.02344384030316,1.34105380514838,1.47871666799808,1.57335593586477,0.4375,0.569846424989749,2.30364013704986,0.0430049697198892,1.32384046205414,1.25938314110184,0.583333333333333,0.0125790538159833,-0.61342321467557,2.55584301314355,3,4,0.858331940342696,0.0362692598786883,1.03343181411907,1.30571241983182,1.40127856502611,0.0554210070632744,0.0460121144876039,-0.125178525511099,0.0707813018223822,-0.24146934697813,NA,1.47995093700453,1.57341644757322,0.369318181818182,0.163992252483477,1.57003755508531,0.381210134263751,1.32370777421325,1.27383510782195,0.641835016835017,-0.0890440578109553,-0.139657875006087,1.78899759766794
"Col-0","WW","fast",74,"Low light 2",-0.186171216626866,1.45910003496257,NA,0.293797751636642,0.293797751636642,NA,NA,1.34105380514838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.29236111111111,NA,NA,1.30571241983182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW","fast",75,"Control",-0.0656320655676547,1.53093524097517,1.50288559670707,0.914855994937749,NA,0.914855994937749,1.01006584516547,NA,1.10144767187894,2.01113706204579,2.08065722368136,0.25,-0.289961502087686,2.77790422050461,2.16184028232033,0.99463413136836,0.867297935234204,0.520833333333333,0.488660319954226,0.443289361469204,5.29018891001528,-0.938194444444444,3,0.98170646323767,0.0680387548827764,NA,1.08813617481326,1.5029406551306,0.467930621166618,0.10714427236879,0.138849086359331,0.0380780187937461,-0.18131704493471,NA,2.01355362228789,2.07170861546514,0.219276094276094,-0.348499371953206,2.93502113747307,2.02136439198422,0.99443379018339,0.893503035031374,0.578914141414141,0.371125856554544,-0.200292277149517,4.1481118542678
"Col-0","WW","fast",75,"Low light 1",-0.0656320655676547,1.53093524097517,1.12671472520121,0.188897437446083,0.188897437446083,0.377055780351511,0.293166773618019,1.10144767187894,0.91328932897351,1.3073300650708,1.34565876430755,0.3125,-0.0361626929022871,1.22121319293367,0.502631674878276,0.946099385331622,0.911921994274184,0.979166666666667,-0.138910016802391,-0.0203242392343352,0.00123060122939334,3,4,0.992863934341529,0.0140671842028035,1.08813617481326,0.954631634179555,1.12753201901607,0.165990003723059,0.0243658583807169,0.00577251116113846,0.0221575443484232,-0.221396622864489,NA,1.30978830692099,1.33617663379051,0.325757575757576,0.000344141537005774,1.04660789009208,0.289862069849874,0.945964266022009,0.922953797253353,0.627314814814815,0.020954223793838,-0.152559973965228,0.883446967449367
"Col-0","WW","fast",75,"Low light 2",-0.0656320655676547,1.53093524097517,NA,0.341368999029724,0.341368999029724,NA,NA,0.91328932897351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.29236111111111,NA,NA,0.954631634179555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW","moderate",76,"Control",0.00773505065503154,1.46315716547655,1.43950852185523,1.10014821339204,NA,1.10014821339204,1.06383303845113,NA,0.96811238762689,2.01604062427515,2.15842122130111,0.0416666666666667,-0.524777624632265,3.17554541961244,5.68109776613702,0.862976419435305,0.752971617431503,0.520833333333333,0.448989433451241,0.105166810343919,4.55858075338836,-0.938194444444444,3,0.93598885985815,0.15029644061825,NA,0.985855968293951,1.43890167953619,0.5341689608857,0.135183983437966,0.15902060632007,0.0341185974215365,-0.100920194913293,NA,2.01714473644486,2.11890064218177,0.156355218855219,-0.500239713458207,2.94771723304099,3.9563969575551,0.862701728143458,0.752684694505133,0.535353535353535,0.484624117633955,-0.294788238243289,4.55124024377777
"Col-0","WW","moderate",76,"Low light 1",0.00773505065503154,1.46315716547655,1.1058887475135,0.259858575528889,0.259858575528889,0.354842579266113,0.269422551892322,0.96811238762689,0.873128383889666,1.32545457690013,1.42665033247409,0.25,-0.00380269440582134,4.25065000085639,2.54486054957992,0.886322918126869,0.857818645877378,0.6875,-0.174465188809046,-1.23571082512644,0.92675022521573,3,4,0.986113781465449,0.0252510651338015,0.985855968293951,0.938900466814045,1.1058887475135,0.143874165484507,0.121666415312746,0.024130546807428,0.0415844834281242,-0.119639812003058,NA,1.32914939939271,1.41250429395938,0.238636363636364,-0.113596298455948,4.68545564621216,2.15291201792336,0.885318336179986,0.866155685382993,0.607954545454546,0.104671799362146,-1.1922355990884,0.727560088295858
"Col-0","WW","moderate",76,"Low light 2",0.00773505065503154,1.46315716547655,NA,0.439435609617682,0.439435609617682,NA,NA,0.873128383889666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.29236111111111,NA,NA,0.938900466814045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW","fast",77,"Control",-0.0926716843046253,1.55248744471931,1.5325264801564,1.20150767601456,NA,1.20150767601456,1.09809556973673,NA,1.01554661590265,2.14295255880656,2.25621588439145,0.1875,-0.644037250335158,3.46459067058898,4.12534455333624,0.922100401506235,0.810357539728211,0.520833333333333,0.428220680711868,0.395207583442838,4.64262146025369,-0.938194444444444,3,0.943561101560372,0.148781318120697,NA,1.04404262574505,1.53137637014277,0.547885501152273,0.15123480397593,0.129634685968333,0.0519345802325447,-0.100314445393791,NA,2.14410754933715,2.26374371823965,0.180555555555556,-0.497547605543432,4.39552235405175,4.3510758858147,0.921744113933873,0.815432367077068,0.540193602693603,0.473387668953672,-0.371636863688612,4.39651872064091
"Col-0","WW","fast",77,"Low light 1",-0.0926716843046253,1.55248744471931,NA,0.365567770505091,0.365567770505091,NA,NA,1.01554661590265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,1.04404262574505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW","fast",77,"Low light 2",-0.0926716843046253,1.55248744471931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.29236111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW","fast",78,"Control",-0.192938670545382,1.60909220360436,1.50819739777904,0.956553197973526,NA,0.956553197973526,0.977985002068052,NA,1.24892042149073,1.93494680099284,1.98675845107385,0.25,NA,NA,1.20334911800154,1.08144799456524,0.876885658134587,0.520833333333333,0.776420375699777,0.8011420453116,8.50226164678367,-0.938194444444444,3,0.993741627950089,0.0325525267950615,NA,1.17643213699707,1.51015644571353,0.413041740212954,0.101661058087046,0.200698300312822,0.0707069351622683,-0.230092031809197,NA,1.94021885397676,1.98859820775816,0.0208333333333333,-0.375082896901537,1.7348627630863,1.98549072055582,1.08182926582383,0.929343246892518,0.588594276094276,0.446599352738729,0.518294320009808,6.24994045737252
"Col-0","WW","fast",78,"Low light 1",-0.192938670545382,1.60909220360436,1.50879543189841,0.142556200593581,0.142556200593581,-0.00761939502481201,0.294835219125883,1.24892042149073,1.39909601710912,1.60777792844156,1.74012290511744,0.354166666666667,0.661569016918388,2.59446350502262,0.241354236821128,1.40981293535526,1.37098132894127,0.604166666666667,-0.0303593873865042,0.148751208782655,1.53979315048461,3,4,0.923160926348588,0.0334573174980537,1.17643213699707,1.36453607131939,1.51049838045498,0.0731137284406866,0.0726429590405774,-0.158839772121081,0.0845462403624491,-0.238857598217075,NA,1.61278623676725,1.73837609317212,0.374158249158249,0.287380266742751,2.03982912768596,0.424799701636965,1.40970352467103,1.36453607131939,1,-0.198617979811522,-0.101199742207577,0
"Col-0","WW","fast",78,"Low light 2",-0.192938670545382,1.60909220360436,NA,0.28065053165359,0.28065053165359,NA,NA,1.39909601710912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.29236111111111,NA,NA,1.36453607131939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW","moderate",79,"Control",-0.0582094107739593,1.45091246411496,1.39486523916325,1.12375993225628,NA,1.12375993225628,1.10404816476259,NA,0.899825985814789,1.96980024058029,2.101410738226,0.145833333333333,-0.404992494804254,1.86813105362229,4.33546587622375,0.819930237746212,0.72547884954811,0.520833333333333,0.363854893078285,0.314401826797803,3.92338754751801,-0.938194444444444,3,0.969686416745984,0.100038173617203,NA,0.918437875300113,1.40043725341875,0.529866693931174,0.123688728455157,0.128500321697714,0.0452373865142006,-0.0924081828065604,NA,1.98379609108031,2.08605464620316,0.175715488215488,-0.407375297209446,3.62796936732191,3.72441275654745,0.819637996828721,0.734805960690226,0.530513468013468,0.382013497176499,-0.304407864380889,3.50867386437768
"Col-0","WW","moderate",79,"Low light 1",-0.0582094107739593,1.45091246411496,1.15735530296955,0.346010429161451,0.346010429161451,0.26356979547884,0.270769096150103,0.899825985814789,0.982266619497399,1.33579788410387,1.42320853118863,0.208333333333333,0.0906866693198783,2.94772843885282,2.33776756003954,0.978912721835225,0.949674815849111,0.5625,-0.0756620418320256,-0.927990511967443,1.09203454104393,3,4,0.983134058177565,0.0224758895615611,0.918437875300113,1.01701997439996,1.15735530296955,0.130683187852728,0.0783706892286949,0.0366631800666689,0.0275886526565556,-0.120599635796707,NA,1.33817498161437,1.3930482512785,0.233796296296296,-0.0979368435436804,3.01581994992759,1.48662416361375,0.978324622212477,0.960266937620411,0.598274410774411,0.0923719063691086,-0.692844297896046,0.714447248419717
"Col-0","WW","moderate",79,"Low light 2",-0.0582094107739593,1.45091246411496,NA,0.290599189955929,0.290599189955929,NA,NA,0.982266619497399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.29236111111111,NA,NA,1.01701997439996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pgm","WW","slow",87,"Control",0.0567856894338584,1.56408692305081,1.55927624066992,0.74026729738437,NA,0.74026729738437,0.986353634118164,NA,1.05604765909413,2.08418229441859,2.21137558523969,0.270833333333333,0.554284000759344,6.69902959115263,1.52027854237365,1.03437018692125,1.01332330544745,0.729166666666667,-0.0407125154018611,-1.35784133227794,0.354105850169096,-0.938194444444444,3,0.990499275861423,0.0514181992221609,NA,1.03908646372547,1.56032214778613,0.414771697026725,0.180104284560599,-0.0501639002364587,0.060941092518645,-0.171965017117812,NA,2.09152775679374,2.2160966934153,0.296717171717172,0.200113726047033,6.65695518597684,1.59016480732587,1.03272107987898,1.01563178665727,0.917718855218855,-0.170677515008608,-1.97653534287102,0.0511925176847619
"pgm","WW","slow",87,"Low light 1",0.0567856894338584,1.56408692305081,1.15383693694065,0.294292328187763,0.294292328187763,0.385326764147859,0.0917858222178989,1.05604765909413,0.965013223134036,1.36638024719002,1.50164632991693,0.229166666666667,-0.302647993410846,3.82534595983321,3.72977888628617,0.941293626691283,0.903114295452579,0.729166666666667,-0.309959189747333,-4.23276418021191,0.723871040258195,3,4,0.979016055052689,0.0304568263535159,1.03908646372547,1.0314499360804,1.15383693694065,0.115012177494965,0.156015165601318,0.0204396905946292,0.0376405279642598,-0.064745601367332,NA,1.37019141621507,1.46011394966098,0.20959595959596,-0.141103302988162,4.80415796493986,2.6445552440839,0.939049462610634,0.904566067400273,0.811237373737374,0.109282529053043,-2.76943542146094,0.678924259635594
"pgm","WW","slow",87,"Low light 2",0.0567856894338584,1.56408692305081,NA,0.175292341863041,0.175292341863041,NA,NA,0.965013223134036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.29236111111111,NA,NA,1.0314499360804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pgm","WW","slow",88,"Control",0.0531804241930745,1.44234306965791,1.43911860692742,0.571482407381524,NA,0.571482407381524,0.87853009111261,NA,1.01286548201208,1.87950613839139,1.98545825626984,0.270833333333333,0.606989910581745,6.46849078218357,1.10566830198647,0.998731075463452,0.992259397920068,0.8125,0.0338052554657377,-0.260721968830207,0.157996460063259,-0.938194444444444,3,0.984206074103506,0.0558579019505592,NA,0.986218795882145,1.44050205712229,0.358702019036798,0.136530408571037,-0.0583253954692078,0.0578984094999864,-0.175422444528215,NA,1.88652564522385,1.99350357347241,0.301557239057239,0.183798200428792,5.39879135120614,1.26875961646378,0.997826249348854,0.978246222046324,0.956439393939394,-0.153401945140429,-1.05176990202633,0.0101326120135337
"pgm","WW","slow",88,"Low light 1",0.0531804241930745,1.44234306965791,1.07458797630019,0.200516845871805,0.200516845871805,0.297522716546702,0.0624131492196529,1.01286548201208,0.915859611337182,1.223329368276,1.29656152841438,0.25,-0.209028533310875,2.59315746470696,1.973525974582,0.925846584324388,0.892885990532998,0.6875,-0.281634911545575,-2.48348410144925,0.702214326116061,3,4,0.971648714368244,0.0247428390006682,0.986218795882145,0.982109563590841,1.07458797630019,0.0824736895083762,0.105379464574847,0.0151872891508862,0.0231135888779067,-0.0835286307013839,NA,1.2259926594966,1.28487481047188,0.224116161616162,-0.0779453088877612,3.36000276498947,1.61685546400743,0.924395568643622,0.904904738716826,0.801557239057239,0.0626628579003945,-1.78588879768844,0.417422480892242
"pgm","WW","slow",88,"Low light 2",0.0531804241930745,1.44234306965791,NA,0.0905371133947672,0.0905371133947672,NA,NA,0.915859611337182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.29236111111111,NA,NA,0.982109563590841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pgm","WW","slow",89,"Control",0.0591791063355103,1.5133868124756,1.49678207062107,0.553914736479083,NA,0.553914736479083,0.89141844501023,NA,1.06469425381187,1.94466175642539,2.04659682618218,0.291666666666667,0.654089051141493,7.31565781769342,1.12294306575205,1.04890238481674,1.03515127811219,0.5625,0.0502665144887278,-0.161950315631118,0.545209287925077,-0.938194444444444,3,0.981512211393307,0.0610333464917593,NA,1.04632489452575,1.50005013786048,0.37359166709567,0.124611889763469,-0.0446650046539584,0.0565214598878761,-0.175255502296879,NA,1.95524143327713,2.05470893229868,0.296717171717172,0.125604205087237,5.13549747578604,1.30908750390808,1.04813076795252,1.03197163163857,0.641835016835017,-0.0960441175962175,-0.886971893974421,0.457739530300058
