"idGenotype","idWatering","SWC_drop","idPot","idPeriod","diel_trend","diel_trend_baseline","E_diel_obs","A_rapid_op_obs","A_rapid_op_transition_obs","A_rapid_op_stable_obs","A_rapid_clo_obs","E_EON_before_obs","E_EON_obs","E_day_mean_obs","E_day_max_obs","t_day_max_obs","sigma_day_obs","Delta_day_obs","Sigma_preclo_obs","E_night_mean_obs","E_night_min_obs","t_night_min_obs","sigma_night_obs","Delta_night_obs","Sigma_preop_obs","t1_fit","t2_fit","adjR2","RMSE","E_EON_before_mod","E_EON_mod","E_mean","A_SQW","A1","phi1","A2","phi2","acclim_slope","E_day_mean_mod","E_day_max_mod","t_day_max_mod","sigma_day_mod","Delta_day_mod","Sigma_preclo_mod","E_night_mean_mod","E_night_min_mod","t_night_min_mod","sigma_night_mod","Delta_night_mod","Sigma_preop_mod"
"Col-0","WW","moderate",73,"Control",0.0120549435760979,1.31545993633444,1.33211055048743,0.863497281791519,NA,0.863497281791519,0.964294480570807,NA,0.946311870112756,1.83802059450258,1.91767130114007,0.208333333333333,-0.275099107253224,4.06601008031783,2.35497504019209,0.826200506472285,0.713696349107964,0.520833333333333,0.485458478618695,-0.16431565556488,4.65082562923431,-0.5,1,0.998303994275519,0.0191753507227155,NA,0.938443592437348,1.33211055048744,0.438234360203253,0.137089919385992,0.0984873601011541,0.0391893589443904,-0.162337130261197,NA,1.84134114750423,1.92090405236005,0.219276094276094,-0.353830064849316,4.21135623213364,2.56958343548184,0.825319336423417,0.735964529801591,0.593434343434343,0.368001577612601,-1.04386942620676,3.63513421762459
"Col-0","WW","fast",74,"Control",-0.168573025985873,1.33857198375541,1.42194501509923,0.886794458207388,NA,0.886794458207388,1.070763296777,NA,1.03168796625473,1.96020380802873,2.05595573580264,0.208333333333333,-0.247718425304322,4.36624947197732,2.66936245813171,0.883686222169733,0.729020715560121,0.520833333333333,0.631653392753958,0.143937270531796,6.4091493599101,-0.5,1,0.997292024685837,0.0258787025301496,NA,1.00284791377018,1.42194501509923,0.470774753495753,0.147459228736184,0.112031110050979,0.0543210798652268,-0.175466628020603,NA,1.96386870728317,2.05059392889069,0.233796296296296,-0.412986497892718,4.65876656847009,2.73493433630961,0.883161296836387,0.762545807592674,0.588594276094276,0.441533473099106,-0.581577312596355,4.93344613274677
"Col-0","WW","fast",75,"Control",-0.0571843755785504,1.40312032724487,1.41614758729934,0.906998643614497,NA,0.906998643614497,1.0054188352241,NA,0.98585156134121,1.94709347570539,2.03666827622262,0.208333333333333,-0.224133618216066,4.66309224492278,2.59861133138257,0.885201698893295,0.780034011003077,0.520833333333333,0.42953227896654,0.0975850295537604,4.35800832155311,-0.5,1,0.9966811899878,0.0281281946002279,NA,0.984560541569467,1.41614758729935,0.465225258969241,0.132348313151009,0.0973304573823834,0.0454685488125069,-0.15465685296653,NA,1.950590155307,2.03544443149152,0.224116161616162,-0.339387514143286,4.44295071630315,2.65751414889855,0.884618037254953,0.795428127759904,0.583754208754209,0.351249618494755,-0.660458937577371,3.64876609656294
"Col-0","WW","moderate",76,"Control",0.00928935843950485,1.34193992173159,1.3678470124545,0.831941401724049,NA,0.831941401724049,1.00280258467747,NA,0.981681588030157,1.87976305992164,1.99875402484624,0.0416666666666667,-0.186960804019324,4.79229535283327,4.55992904326085,0.855930964987347,0.72123501981748,0.520833333333333,0.543540664096022,0.193218957944364,5.58446291994685,-0.5,1,0.996528500262486,0.0278068663607558,NA,0.96915785652059,1.3678470124545,0.469022586592522,0.119481707552865,0.144309194872446,0.0296103631569584,-0.175900108653928,NA,1.88194782387311,1.94520364732801,0.185395622895623,-0.403247393770417,2.77329136444624,2.39727721671578,0.855452638843197,0.75323528477062,0.578914141414141,0.418962045485843,-0.557518218356004,4.20077028667934
"Col-0","WW","fast",77,"Control",-0.0830208787800198,1.42432741837705,1.4602026270501,0.922661443779275,NA,0.922661443779275,1.12647919517453,NA,1.02376725826976,2.02415031474922,2.11975872795019,0.208333333333333,-0.162435432069477,5.03878039056716,2.74127661241636,0.89625493935099,0.742115862341209,0.520833333333333,0.587794217590013,0.575137974765974,6.40532187048687,-0.5,1,0.997637573420546,0.0252418848331028,NA,1.00296800705392,1.4602026270501,0.49756705447122,0.141938543421244,0.108387241007934,0.0539412719544085,-0.159221944784822,NA,2.02791161885255,2.12033284493477,0.224116161616162,-0.392773501984096,4.7855817161449,2.91671061529103,0.895894925116164,0.785913767213196,0.578914141414141,0.410094725145155,-0.369079268526074,4.51601004794444
"Col-0","WW","fast",78,"Control",-0.173944469031867,1.47686914193998,1.58382312088692,1.03922800955233,NA,1.03922800955233,1.2156437951392,NA,1.12527729976315,2.20563504550876,2.32081564825794,0.25,-0.355360349888324,5.45478422489382,3.43398851444362,0.962011196265082,0.778584679854796,0.520833333333333,0.723532424156565,0.435464918903984,7.61200215100684,-0.5,1,0.998764946890723,0.0209550651161525,NA,1.09732673330187,1.58382312088692,0.547751207157913,0.169243052883005,0.119071161348581,0.0623536531260961,-0.166976527527504,NA,2.20983167352343,2.31364930602186,0.224116161616162,-0.499167544904709,5.33945687050261,3.38168214496511,0.961609679034987,0.820030942475796,0.578914141414141,0.525411717215285,-0.411586351658502,5.81480043372154
"Col-0","WW","moderate",79,"Control",-0.0528967557864296,1.33333753885532,1.29676719459559,0.77180170960447,NA,0.77180170960447,1.06571338516925,NA,0.918215230430431,1.79349157703102,1.87526421253255,0.208333333333333,0.0489194276226443,3.96378824233793,2.25963292506674,0.800042812160168,0.647744113934831,0.520833333333333,0.564461460512556,0.737127647029577,6.33587975848852,-0.5,1,0.995894911414252,0.0304203278173819,NA,0.874313370429284,1.29676719459559,0.458660614072896,0.0982746849610161,0.135576008724806,0.0494476441187049,-0.180890774047639,NA,1.79604541883702,1.85812916304639,0.243476430976431,-0.310408072455774,3.25968982560638,1.90604528702873,0.800233420912431,0.694810952923703,0.574074074074074,0.339548208385189,0.303920768172424,4.34096198770849
"pgm","WW","slow",87,"Control",0.0532360725664793,1.43414897297463,1.40380361261851,0.729759897906149,NA,0.729759897906149,0.886839847627177,NA,0.926631173355996,1.89060341437616,2.01722405012687,0.270833333333333,0.402836086850391,5.94861972362393,1.69289733898942,0.917003810860863,0.890519949775846,0.854166666666667,-0.0750170613456359,-1.19232864471717,0.192120623882362,-0.5,1,0.990500059023191,0.0437045994120448,NA,0.920022862799424,1.40380361261851,0.378365233200729,0.175173952129052,-0.0484071698676444,0.0582281905277323,-0.159131712132278,NA,1.89580599959797,2.01514797046615,0.291877104377104,0.181820797687754,6.5947208302033,1.6647373368108,0.915474110562746,0.890913802549929,0.912878787878788,-0.163191749105209,-1.82555798833457,0.0679130233507322
"pgm","WW","slow",88,"Control",0.0502065150743704,1.32170789060424,1.3066158415133,0.577077201467348,NA,0.577077201467348,0.787784941982589,NA,0.896883783197312,1.73182867539119,1.86294286607028,0.3125,0.415051642562702,6.84409973886231,1.63408082059619,0.881403007635415,0.868827824671184,0.8125,0.0246862506864964,-0.413266809668695,0.179891526409558,-0.5,1,0.985090239269361,0.048079197277868,NA,0.882089872451406,1.3066158415133,0.320478495775909,0.167792169652693,-0.0424789318198296,0.0689981547502057,-0.166576823208725,NA,1.73718410372899,1.86388297084108,0.291877104377104,0.154181350092435,6.79866896347905,1.78860966698307,0.880255883537889,0.865382972833757,0.937079124579125,-0.125489234957584,-1.3342755433344,0.0284215209886765
"pgm","WW","slow",89,"Control",0.0577557076536314,1.38644814043727,1.36177465510986,0.578881026744366,NA,0.578881026744366,0.836159537023358,NA,0.948722503561103,1.79180654091619,1.8989199319289,0.291666666666667,0.503588578339065,6.20142827257381,1.28921793649347,0.931742769303535,0.922868822536982,0.6875,0.0333404865910059,-0.388450483710194,0.317887377227905,-0.5,1,0.981129254284797,0.0546429890552644,NA,0.935358486816364,1.36177465510986,0.339931755097018,0.143760250077403,-0.0391243755880914,0.0624661031085033,-0.172873111693095,NA,1.79644035166323,1.9077626084834,0.296717171717172,0.122850335148704,5.88335519332017,1.54664688824656,0.930782609295761,0.911623280410473,0.641835016835017,-0.0919832650175088,-1.11319795624898,0.554399058810144
