Date,Label,Area,mm2,Area (cm2),,,,
12/04/2018,C2M43-114-V-20180412-0009.JPG,51465,0.05146,5.994684385,,,,
18/04/2018,C2M43-112-V-20180418-0021.JPG,548513,0.5485,63.89123319,,,,
13/04/2018,C2M43-112-V-20180413-0023.JPG,427396,0.4274,49.7834281,,,,
12/04/2018,C2M43-112-V-20180412-0009.JPG,380189,0.3802,44.28471897,,,,
13/04/2018,C2M43-109-V-20180413-0024.JPG,589478,0.5895,68.66286917,,,,
12/04/2018,C2M43-109-V-20180412-0009.JPG,559446,0.5594,65.16471778,,,,
18/04/2018,C2M43-108-V-20180418-0021.JPG,493049,0.493,57.43074208,,,,
13/04/2018,C2M43-108-V-20180413-0024.JPG,415631,0.4156,48.41303149,,,,
12/04/2018,C2M43-108-V-20180412-0009.JPG,363339,0.3633,42.32201748,,,,
18/04/2018,C2M43-105-V-20180418-0021.JPG,130145,0.1301,15.15939375,,,,
13/04/2018,C2M43-105-V-20180413-0024.JPG,85165,0.08516,9.920087353,,,,
12/04/2018,C2M43-105-V-20180412-0009.JPG,76660,0.07666,8.929418147,,,,
18/04/2018,C2M43-104-V-20180418-0021.JPG,244435,0.2444,28.47198441,,,,
13/04/2018,C2M43-104-V-20180413-0024.JPG,182879,0.1829,21.30189227,,,,
12/04/2018,C2M43-104-V-20180412-0009.JPG,167834,0.1678,19.54943863,,,,
18/04/2018,C2M43-103-V-20180418-0021.JPG,170348,0.1703,19.84227136,,,,
13/04/2018,C2M43-103-V-20180413-0024.JPG,131417,0.1314,15.30755733,,,,
12/04/2018,C2M43-103-V-20180412-0009.JPG,117277,0.1173,13.66051881,,,,
18/04/2018,C2M43-101-V-20180418-0021.JPG,139682,0.1397,16.27027114,,,,
13/04/2018,C2M43-101-V-20180413-0024.JPG,94651,0.09465,11.02502422,,,,
12/04/2018,C2M43-101-V-20180412-0009.JPG,85199,0.0852,9.924047701,,,,
20/04/2018,C2M43-79-V-20180420-0001.JPG,526836,0.5268,61.36627888,,,,
20/04/2018,C2M43-78-V-20180420-0001.JPG,477912,0.4779,55.66757221,,,,
20/04/2018,C2M43-77-V-20180420-0001.JPG,551651,0.5517,64.25674994,,,,
20/04/2018,C2M43-76-V-20180420-0001.JPG,502165,0.5022,58.49258106,,,,
20/04/2018,C2M43-75-V-20180420-0001.JPG,509050,0.5091,59.29455137,,,,
20/04/2018,C2M43-74-V-20180420-0001.JPG,503931,0.5039,58.69828615,,,,
20/04/2018,C2M43-73-V-20180420-0001.JPG,486496,0.4865,56.6674434,,,,
20/04/2018,C2M43-109-V-20180420-0001.JPG,531766,0.5318,61.94052923,,,,
