"Exact_Time_min","Trt","E_corr_avg","SD","N","SE","CI","E_corr_offset_avg","Time"
-1110,"Col-0 - WW",2.45262760824596,0.304100333842708,6,0.135997803690535,0.319133728438805,2.45262760824596,-0.770833333333333
-1080,"Col-0 - WW",2.46369278688584,0.315522981177657,6,0.141106166875325,0.331121061654063,2.46369278688584,-0.75
-1050,"Col-0 - WW",2.44726469452709,0.302632108336976,6,0.135341193283112,0.317592920265685,2.44726469452709,-0.729166666666667
-1020,"Col-0 - WW",2.42671742678518,0.296199982957837,6,0.1324646593656,0.310842818652537,2.42671742678518,-0.708333333333333
-990,"Col-0 - WW",2.40239131761604,0.271624295751019,6,0.121474077927957,0.285052216622767,2.40239131761604,-0.6875
-960,"Col-0 - WW",2.39694378798798,0.273275503868285,6,0.122212520646998,0.286785053269911,2.39694378798798,-0.666666666666667
-930,"Col-0 - WW",2.37312643882172,0.268123254935243,6,0.119908364876742,0.281378099613961,2.37312643882172,-0.645833333333333
-900,"Col-0 - WW",2.34993966137483,0.261324792307816,6,0.116867999961258,0.274243550636238,2.34993966137483,-0.625
-870,"Col-0 - WW",2.34391842056819,0.262663432428135,6,0.117466658022547,0.275648367287496,2.34391842056819,-0.604166666666667
-840,"Col-0 - WW",2.31803980074522,0.253337143178553,6,0.113295814674568,0.265861026961005,2.31803980074522,-0.583333333333333
-810,"Col-0 - WW",2.30683546160338,0.247794598304014,6,0.110817113253006,0.260044482833941,2.30683546160338,-0.5625
-780,"Col-0 - WW",2.28865597242529,0.273539527560984,6,0.122330595631908,0.287062129142807,2.28865597242529,-0.541666666666667
-750,"Col-0 - WW",2.28722738291304,0.27388795562366,6,0.12248641739859,0.287427781969718,2.28722738291304,-0.520833333333333
-720,"Col-0 - WW",2.30498081533626,0.295751628108449,6,0.132264148981346,0.310372299094269,2.30498081533626,-0.5
-690,"Col-0 - WW",1.30099048446555,0.273350818214722,6,0.122246202246661,0.286864090829258,1.30099048446555,-0.479166666666667
-660,"Col-0 - WW",1.24043732201037,0.159354168027673,6,0.0712653504415603,0.167231943294214,1.24043732201037,-0.458333333333333
-630,"Col-0 - WW",1.28086682201356,0.224393448676264,6,0.100351800989147,0.235486482400042,1.28086682201356,-0.4375
-600,"Col-0 - WW",1.31297928105512,0.258601706814888,6,0.115650199107112,0.271385847669476,1.31297928105512,-0.416666666666667
-570,"Col-0 - WW",1.3080159593347,0.202279051276033,6,0.0904619418154749,0.212278845613416,1.3080159593347,-0.395833333333333
-540,"Col-0 - WW",1.30015580843504,0.201884859922335,6,0.0902856540828726,0.211865167157906,1.30015580843504,-0.375
-510,"Col-0 - WW",1.30015580843504,0.201884859922335,6,0.0902856540828726,0.211865167157906,1.30015580843504,-0.354166666666667
-480,"Col-0 - WW",1.3010563242504,0.200921469574988,6,0.0898548128217658,0.210854150992269,1.3010563242504,-0.333333333333333
-450,"Col-0 - WW",1.310987900092,0.203704472531294,6,0.0910994095801425,0.213774733480553,1.310987900092,-0.3125
-420,"Col-0 - WW",1.3040499838034,0.202389097330735,6,0.0905111559072688,0.21239433186525,1.3040499838034,-0.291666666666667
-390,"Col-0 - WW",1.30686617892745,0.190734680318635,6,0.0852991421718318,0.200163771290543,1.30686617892745,-0.270833333333333
-360,"Col-0 - WW",1.32162850839005,0.187482117294694,6,0.0838445517673049,0.196750415732211,1.32162850839005,-0.25
-330,"Col-0 - WW",1.31211635136711,0.189178542502068,6,0.0846032161837913,0.198530704805247,1.31211635136711,-0.229166666666667
-300,"Col-0 - WW",1.3122699879316,0.186117999158368,6,0.0832344995908719,0.195318861542922,1.3122699879316,-0.208333333333333
-270,"Col-0 - WW",1.32641246929549,0.212369728776249,6,0.0949746299813771,0.222868362212839,1.32641246929549,-0.1875
-240,"Col-0 - WW",1.32225561811456,0.202800571627727,6,0.0906951728070827,0.212826147657415,1.32225561811456,-0.166666666666667
-210,"Col-0 - WW",1.33604225186238,0.176296767078946,6,0.078842311080394,0.185012110571087,1.33604225186238,-0.145833333333333
-180,"Col-0 - WW",1.34287083475195,0.182120159729671,6,0.0814466114457329,0.191123386363866,1.34287083475195,-0.125
-150,"Col-0 - WW",1.34509438985701,0.181537542459167,6,0.0811860570813903,0.19051196703578,1.34509438985701,-0.104166666666667
-120,"Col-0 - WW",1.36823572161133,0.162413366472078,6,0.0726334655772302,0.170442375171286,1.36823572161133,-0.0833333333333333
-90,"Col-0 - WW",1.38683743126638,0.186837705475107,6,0.0835563620404846,0.196074147001966,1.38683743126638,-0.0625
-60,"Col-0 - WW",1.38683743126638,0.186837705475107,6,0.0835563620404846,0.196074147001966,1.38683743126638,-0.0416666666666667
-30,"Col-0 - WW",1.4311859817833,0.169262437170427,6,0.0756964631100723,0.177630034062301,1.4311859817833,-0.0208333333333333
0,"Col-0 - WW",1.4311859817833,0.169262437170427,6,0.0756964631100723,0.177630034062301,1.4311859817833,0
30,"Col-0 - WW",2.12799553333727,0.200924552024865,6,0.0898561913352583,0.210857385825028,2.12799553333727,0.0208333333333333
60,"Col-0 - WW",2.09838666584265,0.203965973774512,6,0.0912163564913498,0.214049162205063,2.09838666584265,0.0416666666666667
90,"Col-0 - WW",2.07984992193924,0.248961030725213,6,0.111338757689998,0.261268578588278,2.07984992193924,0.0625
120,"Col-0 - WW",2.07622198272969,0.245710833745096,6,0.109885225412437,0.25785770604066,2.07622198272969,0.0833333333333333
150,"Col-0 - WW",2.12496586917673,0.253431237598796,6,0.113337894978562,0.265959772999123,2.12496586917673,0.104166666666667
180,"Col-0 - WW",2.15364323807655,0.256260044158568,6,0.114602975731131,0.268928423421319,2.15364323807655,0.125
210,"Col-0 - WW",2.1984184502814,0.275724905039622,6,0.123307926151654,0.289355542155515,2.1984184502814,0.145833333333333
240,"Col-0 - WW",2.21204136617289,0.266681302717766,6,0.119263504241025,0.279864863565914,2.21204136617289,0.166666666666667
270,"Col-0 - WW",2.23233212785302,0.27053215019834,6,0.120985655588534,0.283906080155832,2.23233212785302,0.1875
300,"Col-0 - WW",2.28233649215268,0.282686850030078,6,0.126421402602508,0.296661655351495,2.28233649215268,0.208333333333333
330,"Col-0 - WW",2.28233649215268,0.282686850030078,6,0.126421402602508,0.296661655351495,2.28233649215268,0.229166666666667
360,"Col-0 - WW",2.28671988265104,0.28720010522808,6,0.128439791687016,0.301398026208224,2.28671988265104,0.25
390,"Col-0 - WW",2.24469736818186,0.31248357383524,6,0.139746902589534,0.327931399264769,2.24469736818186,0.270833333333333
