"Trt","idGenotype","idWatering","idPot","Time","Exact_Time_min","SWC","E_mmol_per_m2_s","E_clean","E_estimate","E_corr","meanVPD","E_mmol_per_m2_s_kPa","E_clean_per_kPa","E_estimate_per_kPa","E_corr_per_kPa"
"Col-0 - WW","Col-0","WW",2,-0.770833333333329,-1110,1.49146581458831,2.88035561778606,2.88035561778606,NA,2.88035561778606,0.990277777777778,2.90863400393543,2.90863400393543,NA,2.90863400393543
"Col-0 - WW","Col-0","WW",2,-0.75,-1080,1.49061373623661,2.77150686048609,2.77150686048609,NA,2.77150686048609,0.989166666666667,2.80186034758493,2.80186034758493,NA,2.80186034758493
"Col-0 - WW","Col-0","WW",2,-0.729166666666657,-1050,1.49061373623661,2.77150686048609,2.77150686048609,NA,2.77150686048609,0.989166666666667,2.80186034758493,2.80186034758493,NA,2.80186034758493
"Col-0 - WW","Col-0","WW",2,-0.708333333333329,-1020,1.49018219523034,2.73388102131246,2.73388102131246,NA,2.73388102131246,0.989296296296296,2.76346028136111,2.76346028136111,NA,2.76346028136111
"Col-0 - WW","Col-0","WW",2,-0.6875,-990,1.48937441366711,2.63341102841479,2.63341102841479,NA,2.63341102841479,0.988878787878788,2.66302711787724,2.66302711787724,NA,2.66302711787724
"Col-0 - WW","Col-0","WW",2,-0.666666666666657,-960,1.48937441366711,2.63341102841479,2.63341102841479,NA,2.63341102841479,0.988878787878788,2.66302711787724,2.66302711787724,NA,2.66302711787724
"Col-0 - WW","Col-0","WW",2,-0.645833333333329,-930,1.48858581797406,2.55431447680474,2.55431447680474,NA,2.55431447680474,0.989589743589744,2.58118527738469,2.58118527738469,NA,2.58118527738469
"Col-0 - WW","Col-0","WW",2,-0.625,-900,1.48769565002716,2.44031775984714,2.44031775984714,NA,2.44031775984714,0.989090909090909,2.46723302925722,2.46723302925722,NA,2.46723302925722
"Col-0 - WW","Col-0","WW",2,-0.604166666666657,-870,1.48769565002716,2.44031775984714,2.44031775984714,NA,2.44031775984714,0.989090909090909,2.46723302925722,2.46723302925722,NA,2.46723302925722
"Col-0 - WW","Col-0","WW",2,-0.583333333333329,-840,1.48687898089172,2.38224630625415,2.38224630625415,NA,2.38224630625415,0.987653846153846,2.41202554470999,2.41202554470999,NA,2.41202554470999
"Col-0 - WW","Col-0","WW",2,-0.5625,-810,1.48611316841949,2.35499105624136,2.35499105624136,NA,2.35499105624136,0.989,2.38118408113383,2.38118408113383,NA,2.38118408113383
"Col-0 - WW","Col-0","WW",2,-0.541666666666657,-780,1.4853108181504,2.23659591367366,2.23659591367366,NA,2.23659591367366,0.990266666666667,2.25857942002861,2.25857942002861,NA,2.25857942002861
"Col-0 - WW","Col-0","WW",2,-0.520833333333329,-750,1.48493556510147,2.2280243766002,2.2280243766002,NA,2.2280243766002,0.99025,2.24996150123727,2.24996150123727,NA,2.24996150123727
"Col-0 - WW","Col-0","WW",2,-0.5,-720,1.48493556510147,2.2280243766002,2.2280243766002,2.16645242181459,2.2280243766002,0.99025,2.24996150123727,2.24996150123727,2.18862491256944,2.24996150123727
"Col-0 - WW","Col-0","WW",2,-0.479166666666657,-690,1.48199279119143,1.00310609373811,1.00310609373811,1.15996943496059,1.00310609373811,0.9898,1.01344321452628,1.01344321452628,1.17080588015188,1.01344321452628
"Col-0 - WW","Col-0","WW",2,-0.458333333333329,-660,1.4817730706562,1.21914240298642,1.21914240298642,NA,1.21914240298642,0.991875,1.22912907673489,1.22912907673489,NA,1.22912907673489
"Col-0 - WW","Col-0","WW",2,-0.4375,-630,1.48130647311509,1.35894444192059,1.35894444192059,NA,1.35894444192059,0.991214285714286,1.37098956452319,1.37098956452319,NA,1.37098956452319
"Col-0 - WW","Col-0","WW",2,-0.416666666666657,-600,1.48100387244218,1.37349072036603,1.37349072036603,NA,1.37349072036603,0.99305,1.38310328821915,1.38310328821915,NA,1.38310328821915
"Col-0 - WW","Col-0","WW",2,-0.395833333333329,-570,1.48062879573397,1.43222131631781,1.43222131631781,NA,1.43222131631781,0.993038461538462,1.44226167645002,1.44226167645002,NA,1.44226167645002
"Col-0 - WW","Col-0","WW",2,-0.375,-540,1.48025477707006,1.4095009813069,1.4095009813069,NA,1.4095009813069,0.99365625,1.41849958806871,1.41849958806871,NA,1.41849958806871
"Col-0 - WW","Col-0","WW",2,-0.354166666666657,-510,1.48025477707006,1.4095009813069,1.4095009813069,NA,1.4095009813069,0.99365625,1.41849958806871,1.41849958806871,NA,1.41849958806871
"Col-0 - WW","Col-0","WW",2,-0.333333333333329,-480,1.48025477707006,1.4095009813069,1.4095009813069,NA,1.4095009813069,0.99365625,1.41849958806871,1.41849958806871,NA,1.41849958806871
"Col-0 - WW","Col-0","WW",2,-0.3125,-450,1.48001777514442,1.45433972990041,1.45433972990041,NA,1.45433972990041,0.9943,1.4626769887362,1.4626769887362,NA,1.4626769887362
"Col-0 - WW","Col-0","WW",2,-0.291666666666657,-420,1.47969612967391,1.42239732322043,1.42239732322043,NA,1.42239732322043,0.99437037037037,1.43045022820887,1.43045022820887,NA,1.43045022820887
"Col-0 - WW","Col-0","WW",2,-0.270833333333329,-390,1.4783488865847,1.46165209180247,1.46165209180247,NA,1.46165209180247,0.994352941176471,1.46995300287754,1.46995300287754,NA,1.46995300287754
"Col-0 - WW","Col-0","WW",2,-0.25,-360,1.47777472120532,1.41354998871365,1.41354998871365,NA,1.41354998871365,0.994435897435897,1.42145913312101,1.42145913312101,NA,1.42145913312101
"Col-0 - WW","Col-0","WW",2,-0.229166666666657,-330,1.4767352984743,1.39626028173668,1.39626028173668,NA,1.39626028173668,0.993966666666667,1.40473551937021,1.40473551937021,NA,1.40473551937021
"Col-0 - WW","Col-0","WW",2,-0.208333333333329,-300,1.47610724337135,1.42550772879225,1.42550772879225,NA,1.42550772879225,0.993916666666667,1.43423264404352,1.43423264404352,NA,1.43423264404352
"Col-0 - WW","Col-0","WW",2,-0.1875,-270,1.47610724337135,1.42550772879225,1.42550772879225,NA,1.42550772879225,0.993916666666667,1.43423264404352,1.43423264404352,NA,1.43423264404352
"Col-0 - WW","Col-0","WW",2,-0.166666666666657,-240,1.47549103836469,1.40904055716224,1.40904055716224,NA,1.40904055716224,0.9941,1.41740323625616,1.41740323625616,NA,1.41740323625616
"Col-0 - WW","Col-0","WW",2,-0.145833333333329,-210,1.47438897941046,1.44271590417086,1.44271590417086,NA,1.44271590417086,0.994205128205128,1.45112498743136,1.45112498743136,NA,1.45112498743136
