"idGenotype","idWatering","idPot","idPeriod","diel_trend","diel_trend_baseline","E_diel_obs","A_rapid_op_obs","A_rapid_op_transition_obs","A_rapid_op_stable_obs","A_rapid_clo_obs","E_EON_before_obs","E_EON_obs","E_day_mean_obs","E_day_max_obs","t_day_max_obs","sigma_day_obs","Delta_day_obs","Sigma_preclo_obs","E_night_mean_obs","E_night_min_obs","t_night_min_obs","sigma_night_obs","Delta_night_obs","Sigma_preop_obs","t1_fit","t2_fit","adjR2","RMSE","E_EON_before_mod","E_EON_mod","E_mean","A_SQW","A1","phi1","A2","phi2","acclim_slope","E_day_mean_mod","E_day_max_mod","t_day_max_mod","sigma_day_mod","Delta_day_mod","Sigma_preclo_mod","E_night_mean_mod","E_night_min_mod","t_night_min_mod","sigma_night_mod","Delta_night_mod","Sigma_preop_mod"
"Col-0","WW",2,"Control 1",-0.0791152752021663,1.87757190453914,1.8808485985162,0.559116663375506,NA,0.559116663375506,0.879334240161894,NA,1.62738659227476,2.3363853157789,2.60264559590145,0.229166666666667,-0.16549602032374,8.18778880790765,6.43794487950719,1.4253118812535,1.22223083627025,0.541666666666667,0.833776180573595,-0.100044047181566,8.39831255780917,-0.8,2.125,0.931152335296814,0.12562006607033,NA,1.59297703660156,1.88097038713431,0.308575355297171,0.263335509133029,0.0694451069644093,0.103486924619174,-0.164963112066893,NA,2.34437649377837,2.51900748263514,0.248316498316498,-0.507090012464474,9.84208310932246,4.67991981658133,1.42392765461081,1.26654668305372,0.593434343434343,0.54800165664185,-1.57937735209041,6.36252447228991
"Col-0","WW",2,"Low VPD",-0.0791152752021663,1.87757190453914,NA,NA,NA,NA,NA,1.62738659227476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.125,2.20833333333333,NA,NA,1.59297703660156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW",2,"Control 2",-0.0791152752021663,1.87757190453914,1.88543676495654,NA,NA,0.787537885182056,0.679898397454684,NA,1.58187862648611,2.31749989434839,2.63427911605925,0.229166666666667,-0.758684011898356,7.11980545508676,8.40560575098993,1.45337363556469,1.30503603204318,0.541666666666667,0.534045080989059,-0.0240490195683762,6.12132334948657,2.20833333333333,3.125,0.992996809931572,0.0357487315623494,NA,1.66257051780613,1.90389047583612,0.320442662876382,0.266721869577296,0.100830473569957,0.0796347469949814,-0.113304928824801,NA,2.36097182901758,2.54820726261787,0.195075757575758,-0.726694314303944,8.33107998815299,6.41712507456299,1.45186234282854,1.30775576332015,0.564393939393939,0.702892864556548,-1.76958122472717,5.9247048487309
"Col-0","WW",2,"High VPD",-0.0791152752021663,1.87757190453914,NA,NA,NA,NA,NA,1.58187862648611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.125,3.21527777777778,NA,NA,1.66257051780613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW",2,"Control 3",-0.0791152752021663,1.87757190453914,1.89128681427881,NA,NA,0.667848679394066,1.11979371161396,NA,1.49539169725989,2.32501710071484,2.40902113745944,0.25,0.438108645267133,2.6746777572283,0.566390056270212,1.45755652784279,1.2533737242305,0.520833333333333,0.505080987191769,3.59310889861617,8.60288094032449,3.21527777777778,4.14583333333333,0.984086023707104,0.0521389155441184,NA,1.48677385184896,1.88372736838749,0.41517860846781,0.0472102287964824,0.18003634655298,0.125207038192108,-0.234329695578167,NA,2.31156951983108,2.41469110646961,0.345117845117845,-0.118445918150168,2.15386855752095,0.917085714657491,1.4585453733081,1.29748882067764,0.607954545454546,0.247607611654756,1.30028782070113,6.50083413743481
"Col-0","WW",3,"Control 1",-0.0610804267243418,1.65787389550704,1.65527479973061,0.546594778155117,NA,0.546594778155117,0.798501952243536,NA,1.32140943347203,2.09436127270894,2.33441983431798,0.125,0.0290149965900695,9.47831982402647,7.33971767646533,1.21618832675229,1.08238702600744,0.541666666666667,0.496704323246629,0.595337935309969,5.56326317082327,-0.8,2.125,0.936440208422129,0.113710920433679,NA,1.3166127682185,1.65597978883492,0.349536327506304,0.164118734062411,0.0738040861979888,0.0649908938805414,-0.143523350449838,NA,2.10070617465905,2.21790347194781,0.233796296296296,-0.341469957660881,6.27411425118567,3.37355501926822,1.21551965614473,1.12488322303357,0.578914141414141,0.348671495331184,-0.734475426915253,3.70245303377509
"Col-0","WW",3,"Low VPD",-0.0610804267243418,1.65787389550704,NA,NA,NA,NA,NA,1.32140943347203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.125,2.20833333333333,NA,NA,1.3166127682185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW",3,"Control 2",-0.0610804267243418,1.65787389550704,1.64841906439214,NA,NA,0.730817881535661,0.776160889050728,NA,1.42447869258438,2.06478597371539,2.24407116347089,0.25,-0.622629893931406,3.45394661470343,5.1922796824682,1.23205215506889,1.08079219422718,0.520833333333333,0.717258779180242,-0.88919805615331,6.22511245984073,2.20833333333333,3.125,0.99715584385388,0.0215222281642102,NA,1.41499034092929,1.66218634275607,0.341244657432647,0.198941074750029,0.115873442782704,0.0428334394425854,-0.0881831985754438,NA,2.09625142157934,2.23401344799056,0.170875420875421,-0.603679958609903,4.97242344213952,5.12305743595832,1.23046423697865,1.12817741331577,0.564393939393939,0.577575983966775,-1.93012284686147,4.20225375487388
"Col-0","WW",3,"High VPD",-0.0610804267243418,1.65787389550704,NA,NA,NA,NA,NA,1.42447869258438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.125,3.21527777777778,NA,NA,1.41499034092929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW",3,"Control 3",-0.0610804267243418,1.65787389550704,1.69440333484619,NA,NA,0.606978913759491,0.865621217313926,NA,1.47213336521296,2.09234413758317,2.15145545365485,0.125,-0.100990183602306,1.93681066020901,1.91806714252666,1.29646253210921,1.16509993201575,0.520833333333333,0.640765425802867,-0.957057833022105,5.39853423416008,3.21527777777778,4.14583333333333,0.995568436717837,0.0252767066719958,NA,1.41843560497826,1.69622680746016,0.375723976949921,0.0982625822646058,0.176851856789584,0.0396578472653794,0.229990594748626,NA,2.09658002343574,2.16454194602226,0.0208333333333333,-0.356430981483141,0.729093539677196,2.80625625790869,1.29555890302131,1.18871953313265,0.61763468013468,0.399328985961599,-1.137709806446,4.29917614603212
"Col-0","WW",4,"Control 1",-0.0274850187706252,1.72096958366819,1.71489435872485,0.594749932075781,NA,0.594749932075781,0.818410816549922,NA,1.3625064606693,2.12410770281755,2.28940484846926,0.125,0.289476682444513,4.21189293183028,5.18215906880363,1.30568101463214,1.24557702374096,0.729166666666667,0.177293859066736,-0.619867827464349,2.21028447806084,-0.8,2.125,0.934449758398411,0.106809046640793,NA,1.39114470068769,1.71562047488203,0.345227245700615,0.113950915306726,0.0644412504539549,0.0248863949366422,-0.144585305299959,NA,2.12838443396591,2.19240428105515,0.224116161616162,-0.213528916298499,3.57163301238546,1.93727746554345,1.30448778083002,1.25839518907933,0.61763468013468,0.216646272860875,-1.45347011405858,1.81422271219519
"Col-0","WW",4,"Low VPD",-0.0274850187706252,1.72096958366819,NA,NA,NA,NA,NA,1.3625064606693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.125,2.20833333333333,NA,NA,1.39114470068769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW",4,"Control 2",-0.0274850187706252,1.72096958366819,1.75572664481328,NA,NA,0.660287561532301,0.779192875809338,NA,1.49043568649919,2.16409734316718,2.57477179501088,0.229166666666667,-0.402750397366548,6.31038090933615,9.97359953226459,1.34735594645938,1.17628501845595,0.541666666666667,0.650900618466451,0.555776631408163,7.10345906945876,2.20833333333333,3.125,0.981925834899231,0.0537589053299684,NA,1.50157118820496,1.76987614317766,0.309821919303474,0.217463350758324,0.0883715177368118,0.0731987288890889,-0.128668849054562,NA,2.19830120823717,2.34978196914214,0.214436026936027,-0.530157498160349,7.50030069349669,4.83531939701409,1.34626381198815,1.22830427221459,0.574074074074074,0.523402469047744,-1.25106827334231,4.83659959310583
"Col-0","WW",4,"High VPD",-0.0274850187706252,1.72096958366819,NA,NA,NA,NA,NA,1.49043568649919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.125,3.21527777777778,NA,NA,1.50157118820496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW",4,"Control 3",-0.0274850187706252,1.72096958366819,1.71338864624042,NA,NA,0.562540988950132,0.915147346919018,NA,1.50326868593488,2.10784077188789,2.14223588668822,0.4375,0.120465577660373,0.600471506032219,0.13291273966056,1.31893652059294,1.20838541726159,0.520833333333333,0.615408560709477,-1.59367093942861,4.51041272210853,3.21527777777778,4.14583333333333,0.990115416854552,0.0374262628641623,NA,1.43513582302422,1.71100015180327,0.363095323695304,0.0755543744032034,0.136802724162016,0.0678463587701768,0.213558867303529,NA,2.10324397931531,2.15050160033332,0.0208333333333333,-0.216309019927417,0.191043286113351,1.95447180529172,1.31731818604037,1.20721038482326,0.651515151515152,0.286316975512279,-2.05843517286744,4.16609119949566
"Col-0","WW",5,"Control 1",-0.136137217800345,2.13102041055064,2.1394485719879,0.725997874776581,NA,0.725997874776581,0.898752099961588,NA,1.82234145609335,2.62612807406307,2.74990155657212,0.125,-0.291645252068279,6.37900206485055,4.17098026865006,1.65276906991272,1.48529199901132,0.541666666666667,0.65217580897612,-0.575507460100172,6.88747756406087,-0.8,2.125,0.957616914370166,0.10159017885079,NA,1.76523729717899,2.14110861131368,0.412164255761117,0.151085771952169,0.0942576049967931,0.0485116650273301,-0.136034290805438,NA,2.63341336420907,2.73463010945489,0.214436026936027,-0.384459659957076,5.0358331659177,3.26930958905498,1.65200485075312,1.56321546269912,0.578914141414141,0.384869908462367,-0.879412799510436,3.63870692341333
"Col-0","WW",5,"Low VPD",-0.136137217800345,2.13102041055064,NA,NA,NA,NA,NA,1.82234145609335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.125,2.20833333333333,NA,NA,1.76523729717899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
