"idGenotype","idWatering","idPot","idPeriod","diel_trend","diel_trend_baseline","E_diel_obs","A_rapid_op_obs","A_rapid_op_transition_obs","A_rapid_op_stable_obs","A_rapid_clo_obs","E_EON_before_obs","E_EON_obs","E_day_mean_obs","E_day_max_obs","t_day_max_obs","sigma_day_obs","Delta_day_obs","Sigma_preclo_obs","E_night_mean_obs","E_night_min_obs","t_night_min_obs","sigma_night_obs","Delta_night_obs","Sigma_preop_obs","t1_fit","t2_fit","adjR2","RMSE","E_EON_before_mod","E_EON_mod","E_mean","A_SQW","A1","phi1","A2","phi2","acclim_slope","E_day_mean_mod","E_day_max_mod","t_day_max_mod","sigma_day_mod","Delta_day_mod","Sigma_preclo_mod","E_night_mean_mod","E_night_min_mod","t_night_min_mod","sigma_night_mod","Delta_night_mod","Sigma_preop_mod"
"abcb14-1","WW",217,"Control",-0.0388473725126399,1.12938696797847,1.15840573089976,0.571047678602626,NA,0.571047678602626,0.5542751067832,NA,0.934151543504263,1.48910524398895,1.61828836615674,0.229166666666667,-0.458111537017667,4.04619455343792,4.07985159288279,0.827706217810573,0.7228840835042,0.541666666666667,0.423107908872779,-0.219271213134148,4.3228246314379,-0.75,2,0.978954825230777,0.0480871727521198,NA,0.950447217873268,1.15840573089976,0.25809221206618,0.155456223175862,0.108612290969937,0.047911880263932,-0.125763619405105,NA,1.49292833793544,1.60001984275506,0.199915824915825,-0.443495393754049,4.85658514057936,3.66819659916023,0.827021403551929,0.729301773224142,0.564393939393939,0.437178217834738,-0.78159581049181,4.02244518213488
"abcb14-1","WW",217,"High CO2",-0.0388473725126399,1.12938696797847,1.15711329103468,0.402308086995886,0.402308086995886,0.367260738676553,0.378809397148322,0.934151543504263,0.969198891823596,1.37561730401756,1.47940264309762,0.229166666666667,-0.320735581178064,5.01122476114509,3.2249137061491,0.938609278051793,0.803964434037338,0.520833333333333,0.344837129293061,2.24759297324144,5.66794624941684,2,3,0.991633108339748,0.0198174976696824,0.950447217873268,0.994286968940769,1.15711329103468,0.167712036948836,0.103055476526671,0.0988025866404929,0.0576160833764634,-0.101206582633833,NA,1.37892200208534,1.4776359454,0.204755892255892,-0.285054193424664,4.21579452248264,3.22448399408517,0.938760497581013,0.869868752933644,0.530513468013468,0.258889338056558,0.271640867030259,2.85460989635764
"abcb14-1","WW",217,"Low light",-0.0388473725126399,1.12938696797847,1.0005071919255,0.301410479658153,0.301410479658153,0.432571206934657,0.207179158576108,0.969198891823596,0.838038164547092,1.2155264777017,1.32128920910592,0.1875,-0.607523143239954,3.9082835212353,3.7560861084773,0.785487906149297,0.753737245731942,0.770833333333333,0.13713973796994,-0.850774874795888,0.884453279060768,3,4,0.990052781345463,0.021499750379859,0.994286968940769,0.89455982451249,1.0005071919255,0.139422003442509,0.139364550307505,0.0774425221201244,0.0511746469980728,-0.0531483542045865,NA,1.21873694516767,1.33041704458939,0.175715488215488,-0.32835673865629,4.05667085625005,3.94666965250207,0.784004828964567,0.758905238046185,0.54503367003367,0.280444258447746,-1.81369136905149,1.01998447297427
"abcb14-1","WW",217,"Recovery 1",-0.0388473725126399,1.12938696797847,1.11248132864726,0.608536033848647,0.608536033848647,0.567382380395773,0.44812265516349,0.838038164547092,0.879191817999966,1.4113977055439,1.49135937235391,0.1875,-0.491438550442515,3.56676450588043,2.81834133035968,0.813564951750616,0.752921607122535,0.541666666666667,0.242548689088187,-0.324701689909154,2.4880611629026,4,5,0.996996048107088,0.0158827570961779,0.89455982451249,0.913421883671306,1.11248132864726,0.241861532943905,0.119462647837286,0.104689433855546,0.0313132303937613,-0.104037633830765,NA,1.41412269663415,1.49675757262093,0.185395622895623,-0.335844452443291,3.45377433197266,2.92431594090266,0.812747626908818,0.7512845191608,0.569234006734007,0.322736502024017,-0.976710341169321,2.52477202362409
"abcb14-1","WW",217,"Recovery 2",-0.0388473725126399,1.12938696797847,1.12391975423579,0.505682720100463,0.505682720100463,0.46340823085431,0.481241887342194,0.879191817999966,0.921466307246119,1.37901888091095,1.43828663609169,0.145833333333333,-0.268640295072373,2.5274626634134,2.0741457752195,0.868820627560644,0.774909176036055,0.520833333333333,0.305858360786219,0.891340671724749,3.92507328777316,5,6,0.998532813272061,0.00939871422801155,0.913421883671306,0.926881503564361,1.12391975423579,0.224183434860978,0.0748114341806426,0.127247063899414,0.0271552730870216,-0.107430020197694,NA,1.38081969393232,1.43974276722681,0.185395622895623,-0.242237746817384,2.29249310110885,2.10523019331534,0.86870200412269,0.81445669569306,0.540193602693603,0.232044887069397,-0.108205757269343,2.24386495911125
"mex1-1","WW",219,"Control",-0.0411285216896078,1.12351373617435,1.14298590658351,0.177522092394655,NA,0.177522092394655,0.457959077931308,NA,0.882975825309605,1.43259643626444,1.63610461344007,0.25,0.629528931002093,9.5590315659279,3.3521677565362,0.853375376902585,0.800138872524076,0.729166666666667,-0.0442691350995142,-1.73692491946318,0.895790685496724,-0.75,2,0.956794392645578,0.0625749930886945,NA,0.90060569409327,1.14298590658351,0.103088979897231,0.296024511026678,-0.0340085090842389,0.0799438538697589,-0.148386124145344,NA,1.44098927268902,1.6216852562957,0.277356902356902,0.189158752477385,10.6214509861109,2.94545121743218,0.850187807323117,0.81394657243909,0.869318181818182,-0.175024804862018,-3.86252285863292,0.29789386413884
"mex1-1","WW",219,"High CO2",-0.0411285216896078,1.12351373617435,0.88434925726351,-0.0465547613393813,-0.0465547613393813,0.259539377609702,0.227053251289274,0.882975825309605,0.576881686360522,1.07040902318786,1.17851429562486,0.25,0.430999423728212,5.64743580261479,1.86176308461589,0.698289491339164,0.576881686360522,1,-0.498796556918671,0.0822728109691289,0,2,3,0.979282149646699,0.0274082952390074,0.90060569409327,0.665790195026372,0.88434925726351,0.0972106745613963,0.151340700634669,-0.0738888254375172,0.0574209683990272,-0.0957451943885529,NA,1.07483107941563,1.17147562109521,0.2628367003367,0.229812125312351,5.6102507918359,1.59297420719816,0.697195249035919,0.615948542195659,0.912878787878788,-0.259727140899534,-1.28915529246163,0.12737478176227
"mex1-1","WW",219,"Low light",-0.0411285216896078,1.12351373617435,0.69873234584188,0.317085243320284,0.317085243320284,0.273018299758932,-0.00457792747513841,0.576881686360522,0.620948629921874,0.787217495430371,0.905536200353405,0.0416666666666667,-0.22597612216395,-2.27272269522189,4.98267881917581,0.610247196253388,0.566156334353944,0.791666666666667,-0.35335513467237,-4.11952757833765,0.531050839750915,3,4,0.83531991165953,0.0390225616385411,0.665790195026372,0.671406673517627,0.69873234584188,0.0705398329087953,0.0322148326056096,0.0702143746818305,0.0399584842883702,0.0659663779701992,NA,0.786694700179168,0.833948442699285,0.0789141414141414,-0.0775923337937737,-0.705437634002512,1.94367674150355,0.608610245274532,0.564578012606484,0.787037037037037,0.0526166770958623,-2.09894684366645,0.785768400513424
"mex1-1","WW",219,"Recovery 1",-0.0411285216896078,1.12351373617435,1.07667924864196,0.393411539965804,0.393411539965804,0.456795822647029,0.53610229316665,0.620948629921874,0.55756434724065,1.39325718352701,1.56542669043169,0.333333333333333,0.877236075504243,7.28895760775038,1.05115983987102,0.760101313756898,0.55756434724065,1,-0.711726919637208,1.38322333525678,0,4,5,0.993019568870558,0.02700177072454,0.671406673517627,0.630251310126621,1.07667924864196,0.224632274213118,0.19765558558981,-0.130133984172356,0.098512028380587,-0.177819027655762,NA,1.39891107606702,1.58204096752139,0.330597643097643,0.589736992985611,7.20517416908203,1.23198175076107,0.760046653681255,0.630040074727251,0.995159932659933,-0.535210049830622,0.0653099236129995,2.96943592989485e-05
"mex1-1","WW",219,"Recovery 2",-0.0411285216896078,1.12351373617435,NA,0.794263107253715,0.794263107253715,NA,NA,0.55756434724065,NA,1.51781392117752,1.60726759473023,0.25,0.120539887954641,5.92302752038153,1.46326212104845,NA,NA,NA,NA,NA,NA,5,6,NA,NA,0.630251310126621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
