idPotManip,idGenotype,Treatment,Analysis
C2M47-247,dpe1-2,WW,TR
C2M47-248,amy3-2 bam1,WW,TR
C2M47-249,mex1-1,WW,TR
C2M47-250,pgm-1,WW,TR
C2M47-251,amy3-2,WW,TR
C2M47-252,bam1bam3,WW,TR
C2M47-253,pgm-1,WS,TR
C2M47-254,bam1,WW,TR
C2M47-255,bam1bam3,WW,TR
C2M47-256,dpe1-2,WW,TR
C2M47-257,bam3,WW,TR
C2M47-258,amy3-2,WW,TR
C2M47-259,amy3-2,WW,TR
C2M47-260,pgm-1,WS,TR
C2M47-261,bam1,WW,TR
C2M47-262,dpe1-2,WW,TR
C2M47-263,pgm-1,WS,TR
C2M47-264,abcb14-1,WW,TR
C2M47-265,abcb14-2,WW,TR
C2M47-266,bam1bam3,WW,TR
C2M47-267,bam1,WW,TR
C2M47-268,pgi1-1,WW,TR
C2M47-269,mex1-1,WW,TR
C2M47-270,dpe2-5,WW,TR
C2M47-271,sex1-3,WW,TR
C2M47-272,pgm-1,WW,TR
C2M47-273,pgi1-1,WW,TR
C2M47-274,dpe2-5,WW,TR
C2M47-275,Col-0,WW,TR
C2M47-276,Col-0,WW,ST_ENV
C2M47-277,abcb14-1,WW,TR
C2M47-278,pgi1-1,WW,TR
C2M47-279,mex1-1,WW,TR
C2M47-280,pgm-1,WS,TR
C2M47-281,dpe1-2,WW,TR
C2M47-282,dpe2-5,WW,TR
C2M47-283,bam3,WW,TR
C2M47-284,bam1,WW,TR
C2M47-285,Col-0 ProStarv::LUC,WW,TR
C2M47-286,pgm-1,WW,TR
C2M47-287,abcb14-1,WW,TR
C2M47-288,Col-0,WS,TR
C2M47-289,pgm-1,WW,TR
C2M47-290,sex1-3,WW,TR
C2M47-291,sex1-3,WW,TR
C2M47-292,mex1-1,WW,TR
C2M47-293,Col-0,WW,ST_ENV
C2M47-294,abcb14-2,WW,TR
C2M47-295,Col-0,WW,TR
C2M47-296,ss4-3 ProStarv::LUC,WW,TR
C2M47-297,ss4-3 ProStarv::LUC,WW,TR
C2M47-298,abcb14-2,WW,TR
C2M47-299,bam1bam3,WW,TR
C2M47-300,amy3-2 bam1,WW,TR
C2M47-301,isa1-1 ProStarv::LUC,WW,TR
C2M47-302,amy3-2,WW,TR
C2M47-303,amy3-2,WW,TR
C2M47-304,bam1,WW,TR
C2M47-305,bam3,WW,TR
C2M47-306,pgm-1,WS,TR
C2M47-307,mex1-1,WW,TR
C2M47-308,amy3-2 bam1,WW,TR
C2M47-309,Col-0,WW,ST_ENV
C2M47-310,abcb14-2,WW,TR
C2M47-311,amy3-2 bam1,WW,TR
C2M47-312,pgm-1,WS,TR
C2M47-313,abcb14-1,WW,TR
C2M47-314,abcb14-1,WW,TR
C2M47-315,bam3,WW,TR
C2M47-316,sex1-3,WW,TR
C2M47-317,abcb14-1,WW,TR
C2M47-318,Col-0 ProStarv::LUC,WW,TR
C2M47-319,Col-0,WW,TR
C2M47-320,isa1-1 ProStarv::LUC,WW,TR
C2M47-321,dpe2-5,WW,TR
C2M47-322,dpe2-5,WW,TR
C2M47-323,bam1,WW,TR
C2M47-324,pgm-1,WW,TR
C2M47-325,amy3-2 bam1,WW,TR
C2M47-326,pgm-1,WS,TR
C2M47-327,pgi1-1,WW,TR
C2M47-328,abcb14-1,WW,TR
C2M47-329,pgi1-1,WW,TR
C2M47-330,abcb14-2,WW,TR
C2M47-331,bam1,WW,TR
C2M47-332,Col-0,WS,TR
C2M47-333,Col-0 ProStarv::LUC,WW,TR
C2M47-334,amy3-2,WW,TR
C2M47-335,abcb14-2,WW,TR
C2M47-336,Col-0,WW,ST_ENV
C2M47-337,bam3,WW,TR
C2M47-338,pgi1-1,WW,TR
C2M47-339,Col-0,WS,TR
C2M47-340,abcb14-2,WW,TR
C2M47-341,pgm-1,WW,TR
C2M47-342,Col-0,WW,ST_ENV
C2M47-343,pgm-1,WW,TR
C2M47-344,isa1-1 ProStarv::LUC,WW,TR
C2M47-345,ss4-3 ProStarv::LUC,WW,TR
C2M47-346,bam1,WW,TR
C2M47-347,Col-0 ProStarv::LUC,WW,TR
C2M47-348,abcb14-2,WW,TR
C2M47-349,mex1-1,WW,TR
C2M47-350,Col-0,WW,TR
C2M47-351,bam3,WW,TR
C2M47-352,dpe1-2,WW,TR
C2M47-353,dpe2-5,WW,TR
C2M47-354,Col-0,WS,TR
C2M47-355,pgm-1,WS,TR
C2M47-356,Col-0,WS,TR
C2M47-357,isa1-1 ProStarv::LUC,WW,TR
C2M47-358,isa1-1 ProStarv::LUC,WW,TR
C2M47-359,ss4-3 ProStarv::LUC,WW,TR
C2M47-360,dpe1-2,WW,TR
C2M47-361,sex1-3,WW,TR
C2M47-362,ss4-3 ProStarv::LUC,WW,TR
C2M47-363,bam3,WW,TR
C2M47-364,Col-0 ProStarv::LUC,WW,TR
C2M47-365,Col-0,WS,TR
C2M47-366,pgi1-1,WW,TR
C2M47-367,isa1-1 ProStarv::LUC,WW,TR
C2M47-368,Col-0,WW,TR
C2M47-369,ss4-3 ProStarv::LUC,WW,TR
C2M47-370,bam3,WW,TR
C2M47-371,bam1bam3,WW,TR
C2M47-372,amy3-2,WW,TR
C2M47-373,Col-0,WW,TR
C2M47-374,Col-0,WS,TR
C2M47-375,Col-0 ProStarv::LUC,WW,TR
C2M47-376,ss4-3 ProStarv::LUC,WW,TR
C2M47-377,pgm-1,WW,Licor
C2M47-378,Col-0,WW,ST_FINE
C2M47-379,Col-0,WW,Licor
C2M47-380,Col-0,WW,Licor
C2M47-381,Col-0,WW,ST_FINE
C2M47-382,Col-0,WW,ST_FINE
C2M47-383,Col-0,WW,Licor
C2M47-384,Col-0,WW,ST_FINE
C2M47-385,pgm-1,WW,Licor
C2M47-386,Col-0,WW,ST_FINE
C2M47-387,Col-0,WW,Licor
C2M47-388,pgm-1,WW,Licor
C2M47-389,Col-0,WW,Licor
C2M47-390,Col-0,WW,ST_FINE
C2M47-391,pgm-1,WW,Licor
C2M47-392,Col-0,WW,ST_FINE
C2M47-393,Col-0,WW,ST_FINE
C2M47-394,Col-0,WW,ST_FINE
C2M47-395,Col-0,WW,ST_FINE
C2M47-396,Col-0,WW,ST_FINE
C2M47-397,Col-0,WW,ST_FINE
C2M47-398,Col-0,WW,ST_FINE
C2M47-399,Col-0,WW,ST_FINE
C2M47-400,Col-0,WW,ST_FINE
C2M47-401,Col-0,WW,ST_FINE
C2M47-402,Col-0,WW,ST_FINE
C2M47-403,Col-0,WW,ST_FINE
C2M47-404,Col-0,WW,ST_FINE
C2M47-405,pgm-1,WW,Licor
C2M47-406,Col-0,WW,ST_FINE
C2M47-407,Col-0,WW,TestCamera
C2M47-408,Col-0,WW,TestCamera
C2M47-409,Col-0,WW,TestCamera
C2M47-410,Col-0,WW,TestCamera
C2M47-411,Col-0,WW,TestCamera
