idPot;idExperiment;idGenotype;potPosition;experimental block;nonPerforatedPotWeight;perforatedPotWeight;drySoilWeight;sowingDate;plantNumber;substrate;humidityLevel1;humidityLevel2;humidityLevel3;humidityLevel4;humidityLevel5;;
C2M43-1;C2M43;Col-0(18);P4_A1;1;15.81;15.04;67.25;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-2;C2M43;Col-0(18);P11_A20;1;13.41;13.8;67.51;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-3;C2M43;Col-0(18);P4_A34;1;14.64;14.83;64.31;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-4;C2M43;Col-0(18);P4_A12;1;15.1;14.89;69.56;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-5;C2M43;Col-0(18);P12_A13;1;14.64;14.63;67.91;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-6;C2M43;Col-0(18);P5_A27;1;14.83;14.42;66.25;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-7;C2M43;Col-0(18);P5_A5;1;15.35;15.08;66.87;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
